date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19900928,1800,,TD,9.7N,137.1W,25,1010
19900929,0000,,TD,10.4N,137.5W,25,1010
19900929,0600,,TD,11.3N,137.8W,30,1009
19900929,1200,,TD,12.3N,138.1W,30,1009
19900929,1800,,TS,13.3N,138.3W,45,1000
19900930,0000,,TS,14.2N,138.7W,55,994
19900930,0600,,HU,15.0N,139.0W,65,987
19900930,1200,,HU,15.5N,139.3W,65,987
19900930,1800,,TS,16.0N,139.6W,50,997
19901001,0000,,TS,16.2N,140.3W,45,1000
19901001,0600,,TS,16.2N,141.5W,40,1003
19901001,1200,,TD,16.0N,142.6W,30,1009
19901001,1800,,TD,15.5N,143.5W,25,1010
