date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19910715,1200,,TD,9.4N,111.9W,25,1008
19910715,1800,,TD,9.8N,113.3W,30,1007
19910716,0000,,TS,10.2N,114.8W,35,1005
19910716,0600,,TS,10.5N,116.1W,45,1001
19910716,1200,,TS,10.9N,117.3W,50,998
19910716,1800,,TS,11.4N,118.6W,55,993
19910717,0000,,TS,12.1N,120.0W,60,990
19910717,0600,,HU,12.6N,121.5W,65,987
19910717,1200,,TS,13.0N,123.1W,60,990
19910717,1800,,TS,13.3N,124.8W,55,993
19910718,0000,,TS,13.6N,126.7W,50,996
19910718,0600,,TS,13.7N,128.5W,45,999
19910718,1200,,TS,14.0N,130.2W,45,1001
19910718,1800,,TS,14.4N,131.5W,40,1003
19910719,0000,,TS,15.0N,132.6W,35,1004
19910719,0600,,TS,15.3N,133.6W,35,1006
19910719,1200,,TS,15.4N,134.7W,35,1007
19910719,1800,,TD,15.3N,135.9W,30,1008
19910720,0000,,TD,15.2N,137.1W,30,1009
19910720,0600,,TD,15.2N,138.1W,30,1010
19910720,1200,,TD,15.3N,139.0W,30,1012
19910720,1800,,TD,15.6N,139.5W,25,1014
19910721,0000,,TD,15.7N,139.7W,25,1014
19910721,0600,,TD,15.7N,139.7W,25,1014
19910721,1200,,TD,16.1N,140.1W,25,1014
19910721,1800,,TD,16.7N,140.9W,25,1014
