date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19910808,0000,,TD,13.3N,101.9W,25,1009
19910808,0600,,TD,13.3N,103.1W,25,1009
19910808,1200,,TD,13.5N,104.3W,30,1009
19910808,1800,,TD,13.9N,105.3W,30,1008
19910809,0000,,TD,14.4N,106.1W,30,1007
19910809,0600,,TD,14.7N,106.9W,30,1006
19910809,1200,,TS,15.1N,107.8W,35,1005
19910809,1800,,TS,15.6N,108.9W,40,1004
19910810,0000,,TS,16.2N,109.8W,45,1003
19910810,0600,,TS,16.7N,110.7W,45,1000
19910810,1200,,TS,17.3N,111.7W,50,997
19910810,1800,,TS,18.1N,112.7W,50,995
19910811,0000,,TS,19.0N,113.5W,55,993
19910811,0600,,TS,20.0N,114.3W,55,992
19910811,1200,,TS,21.0N,114.5W,50,995
19910811,1800,,TS,22.0N,116.7W,45,1000
19910812,0000,,TS,23.0N,117.9W,45,1003
19910812,0600,,TS,24.1N,118.8W,45,1005
19910812,1200,,TS,25.3N,119.6W,45,1006
19910812,1800,,TS,26.5N,120.1W,40,1008
19910813,0000,,TS,27.7N,120.5W,35,1009
19910813,0600,,TD,28.8N,120.9W,30,1009
19910813,1200,,TD,29.9N,121.4W,25,1010
19910813,1800,,TD,30.9N,121.8W,25,1010
19910814,0000,,TD,31.8N,121.7W,25,1010
19910814,0600,,TD,32.7N,121.6W,25,1010
