date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19910925,0000,,TD,12.2N,96.2W,25,1008
19910925,0600,,TD,12.3N,97.0W,30,1007
19910925,1200,,TD,12.3N,97.7W,30,1006
19910925,1800,,TS,12.4N,98.3W,35,1005
19910926,0000,,TS,12.7N,98.7W,45,1001
19910926,0600,,TS,13.0N,99.2W,50,996
19910926,1200,,TS,13.3N,99.9W,60,991
19910926,1800,,HU,13.5N,100.6W,70,985
19910927,0000,,HU,13.5N,101.2W,80,975
19910927,0600,,HU,13.7N,101.7W,90,968
19910927,1200,,HU,13.9N,102.1W,95,965
19910927,1800,,HU,14.3N,102.6W,90,968
19910928,0000,,HU,14.7N,103.2W,90,969
19910928,0600,,HU,14.9N,103.8W,90,970
19910928,1200,,HU,15.0N,104.3W,90,969
19910928,1800,,HU,15.2N,104.5W,95,963
19910929,0000,,HU,15.5N,104.9W,100,960
19910929,0600,,HU,15.9N,105.4W,105,957
19910929,1200,,HU,16.2N,106.0W,110,951
19910929,1800,,HU,16.5N,106.7W,115,948
19910930,0000,,HU,16.8N,107.6W,115,947
19910930,0600,,HU,17.0N,108.5W,115,946
19910930,1200,,HU,17.3N,109.6W,120,943
19910930,1800,,HU,17.5N,110.8W,120,938
19911001,0000,,HU,17.6N,112.0W,125,935
19911001,0600,,HU,17.8N,113.1W,120,937
19911001,1200,,HU,17.9N,114.2W,120,942
19911001,1800,,HU,18.0N,115.2W,115,946
19911002,0000,,HU,18.1N,116.3W,115,947
19911002,0600,,HU,18.0N,117.3W,115,948
19911002,1200,,HU,17.7N,118.3W,115,949
19911002,1800,,HU,17.2N,119.2W,110,951
19911003,0000,,HU,16.6N,120.1W,105,955
19911003,0600,,HU,16.1N,121.0W,105,957
19911003,1200,,HU,15.6N,122.1W,100,959
19911003,1800,,HU,15.2N,123.2W,100,960
19911004,0000,,HU,14.9N,124.3W,95,962
19911004,0600,,HU,14.7N,125.4W,90,967
19911004,1200,,HU,14.6N,126.6W,90,969
19911004,1800,,HU,14.7N,127.8W,90,970
19911005,0000,,HU,14.8N,128.9W,85,971
19911005,0600,,HU,14.9N,129.9W,80,974
19911005,1200,,HU,15.1N,131.0W,80,976
19911005,1800,,HU,15.3N,131.8W,80,978
19911006,0000,,HU,15.5N,132.5W,75,979
19911006,0600,,HU,15.7N,133.1W,80,977
19911006,1200,,HU,16.0N,133.5W,85,972
19911006,1800,,HU,16.3N,133.8W,90,969
19911007,0000,,HU,16.6N,134.1W,95,965
19911007,0600,,HU,17.0N,134.5W,95,962
19911007,1200,,HU,17.4N,134.9W,100,960
19911007,1800,,HU,17.8N,135.4W,100,960
19911008,0000,,HU,18.1N,135.9W,100,960
19911008,0600,,HU,18.5N,136.5W,95,963
19911008,1200,,HU,18.9N,137.3W,90,966
19911008,1800,,HU,19.4N,138.1W,85,970
19911009,0000,,HU,19.9N,139.0W,80,975
19911009,0600,,HU,20.4N,140.0W,75,980
19911009,1200,,HU,21.0N,141.0W,65,984
19911009,1800,,TS,21.7N,141.8W,60,988
19911010,0000,,TS,22.7N,142.7W,50,992
19911010,0600,,TS,23.1N,142.9W,45,996
19911010,1200,,TS,23.8N,143.6W,45,999
19911010,1800,,TS,24.3N,144.1W,45,1001
19911011,0000,,TS,24.5N,144.4W,35,1003
19911011,0600,,TD,24.7N,144.6W,30,1005
19911011,1200,,TD,24.8N,145.0W,30,1007
19911011,1800,,TD,25.0N,145.4W,30,1008
19911012,0000,,TD,25.4N,146.6W,25,1009
19911012,0600,,EX,25.5N,147.5W,25,1009
