date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19911003,1200,,TD,13.4N,108.7W,30,1009
19911003,1800,,TD,13.9N,109.0W,30,1008
19911004,0000,,TS,14.4N,109.2W,35,1005
19911004,0600,,TS,14.8N,109.3W,40,1003
19911004,1200,,TS,15.2N,109.2W,45,1000
19911004,1800,,TS,15.5N,109.1W,55,994
19911005,0000,,HU,15.8N,109.0W,70,985
19911005,0600,,HU,16.1N,108.8W,85,975
19911005,1200,,HU,16.4N,108.7W,100,963
19911005,1800,,HU,16.7N,108.6W,105,957
19911006,0000,,HU,17.3N,108.5W,100,960
19911006,0600,,HU,17.7N,108.6W,95,965
19911006,1200,,HU,18.2N,108.8W,85,974
19911006,1800,,HU,18.5N,109.5W,75,979
19911007,0000,,HU,18.9N,110.1W,70,984
19911007,0600,,HU,19.2N,110.9W,65,987
19911007,1200,,TS,19.3N,111.9W,60,990
19911007,1800,,TS,19.3N,112.9W,55,994
19911008,0000,,TS,19.4N,113.9W,50,995
19911008,0600,,TS,19.5N,115.0W,50,998
19911008,1200,,TS,19.7N,115.8W,45,1000
19911008,1800,,TS,19.9N,116.7W,45,1001
19911009,0000,,TS,20.0N,117.6W,40,1002
19911009,0600,,TS,20.0N,118.5W,40,1004
19911009,1200,,TS,20.1N,119.3W,35,1005
19911009,1800,,TS,20.1N,119.8W,35,1005
19911010,0000,,TD,20.1N,120.4W,30,1006
19911010,0600,,TD,20.1N,121.0W,30,1007
19911010,1200,,TD,20.1N,121.6W,30,1008
19911010,1800,,TD,20.0N,122.2W,25,1008
19911011,0000,,TD,20.0N,122.9W,25,1009
19911011,0600,,TD,19.9N,123.7W,25,1009
19911011,1200,,TD,19.7N,124.4W,25,1010
19911011,1800,,TD,19.5N,125.1W,25,1010
19911012,0000,,TD,19.3N,125.9W,25,1010
19911012,0600,,TD,19.0N,126.6W,25,1010
19911012,1200,,TD,18.5N,127.3W,25,1010
19911012,1800,,TD,18.1N,127.9W,25,1010
19911013,0000,,TD,17.9N,128.4W,25,1010
19911013,0600,,TD,17.9N,129.0W,25,1010
19911013,1200,,TD,18.2N,129.4W,20,1011
19911013,1800,,TD,18.5N,130.0W,20,1011
