date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19911007,1200,,TD,12.2N,95.3W,25,1009
19911007,1800,,TD,13.0N,95.8W,25,1009
19911008,0000,,TD,13.3N,96.4W,25,1009
19911008,0600,,TD,13.6N,97.2W,25,1008
19911008,1200,,TD,13.9N,98.1W,30,1008
19911008,1800,,TS,14.3N,99.1W,35,1006
19911009,0000,,TS,14.8N,100.0W,40,1005
19911009,0600,,TS,15.1N,100.9W,45,1002
19911009,1200,,TS,15.4N,101.9W,50,1000
19911009,1800,,TS,15.7N,102.9W,60,995
19911010,0000,,HU,16.0N,103.8W,65,990
19911010,0600,,HU,16.3N,104.6W,65,987
19911010,1200,,HU,16.5N,105.5W,65,987
19911010,1800,,HU,16.8N,106.4W,65,987
19911011,0000,,HU,17.0N,107.2W,65,987
19911011,0600,,HU,17.1N,107.9W,65,987
19911011,1200,,HU,17.3N,108.4W,70,982
19911011,1800,,HU,17.4N,108.6W,70,979
19911012,0000,,HU,17.6N,108.8W,70,980
19911012,0600,,HU,17.8N,108.8W,65,982
19911012,1200,,TS,18.0N,108.8W,60,985
19911012,1800,,TS,18.3N,108.9W,55,990
19911013,0000,,TS,18.7N,109.1W,50,994
19911013,0600,,TS,19.0N,109.2W,50,1000
19911013,1200,,TS,19.3N,109.2W,45,1000
19911013,1800,,TS,19.4N,109.1W,45,1000
19911014,0000,,TS,19.5N,109.3W,40,1000
19911014,0600,,TS,19.3N,109.7W,35,1000
19911014,1200,,TS,19.0N,110.4W,35,1003
19911014,1800,,TS,18.5N,111.1W,35,1005
19911015,0000,,TD,18.0N,111.8W,30,1007
19911015,0600,,TD,17.6N,112.5W,30,1008
19911015,1200,,TD,17.3N,113.4W,30,1008
19911015,1800,,TD,17.1N,114.4W,30,1009
19911016,0000,,TD,17.0N,115.4W,30,1009
19911016,0600,,TD,16.9N,116.3W,30,1009
19911016,1200,,TD,16.9N,117.4W,30,1009
19911016,1800,,TD,17.1N,118.8W,30,1009
19911017,0000,,TD,17.3N,120.0W,25,1009
19911017,0600,,TD,17.7N,121.2W,25,1009
19911017,1200,,TD,18.2N,122.3W,25,1009
19911017,1800,,TD,18.7N,123.1W,25,1009
19911018,0000,,TD,19.4N,124.1W,25,1009
19911018,0600,,TD,19.9N,124.9W,25,1009
19911018,1200,,TD,20.8N,125.9W,25,1009
