date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19920126,1800,,TD,5.2N,154.4W,20,-999
19920127,0000,,TD,4.8N,154.3W,20,-999
19920127,0600,,TD,4.3N,154.5W,20,-999
19920127,1200,,TD,4.2N,155.0W,25,-999
19920127,1800,,TD,4.2N,155.6W,25,-999
19920128,0000,,TD,4.3N,156.2W,25,-999
19920128,0600,,TD,4.5N,156.8W,30,-999
19920128,1200,,TD,4.8N,157.5W,30,-999
19920128,1800,,TS,5.1N,158.2W,35,-999
19920129,0000,,TS,5.5N,158.5W,40,-999
19920129,0600,,TS,5.7N,159.0W,45,-999
19920129,1200,,TS,5.9N,160.8W,50,-999
19920129,1800,,TS,6.0N,162.5W,55,-999
19920130,0000,,HU,6.0N,163.5W,65,-999
19920130,0600,,HU,6.1N,164.2W,65,-999
19920130,1200,,HU,6.1N,164.7W,70,-999
19920130,1800,,HU,6.2N,165.2W,75,-999
19920131,0000,,HU,6.3N,166.2W,75,-999
19920131,0600,,HU,6.5N,167.2W,75,-999
19920131,1200,,HU,6.9N,168.3W,75,-999
19920131,1800,,HU,7.4N,169.5W,85,-999
19920201,0000,,HU,8.1N,171.1W,90,-999
19920201,0600,,HU,8.4N,171.9W,90,-999
19920201,1200,,HU,8.8N,172.8W,90,-999
19920201,1800,,HU,9.0N,173.3W,90,-999
19920202,0000,,HU,9.2N,173.7W,100,-999
19920202,0600,,HU,9.3N,174.2W,100,-999
19920202,1200,,HU,9.5N,174.6W,90,-999
19920202,1800,,HU,9.6N,175.1W,90,-999
19920203,0000,,HU,9.6N,175.7W,80,-999
19920203,0600,,TS,9.7N,176.4W,50,-999
19920203,1200,,TS,9.5N,178.0W,40,-999
19920203,1800,,TS,9.4N,180.0W,40,-999
19920204,0000,,TS,9.2N,178.2E,40,-999
19920204,0600,,TS,9.1N,176.5E,35,-999
19920204,1200,,TD,9.2N,174.8E,30,-999
19920204,1800,,TD,9.4N,173.0E,25,-999
19920205,0000,,TD,9.9N,171.2E,25,-999
19920205,0600,,TD,10.3N,169.5E,25,-999
19920205,1200,,TD,10.6N,168.0E,25,-999
19920205,1800,,TD,10.9N,166.6E,25,-999
19920206,0000,,TD,11.0N,165.3E,25,-999
19920206,0600,,TD,10.8N,164.2E,25,-999
19920206,1200,,TD,10.5N,163.2E,25,-999
19920206,1800,,TD,10.2N,162.1E,25,-999
19920207,0000,,TD,9.8N,160.8E,25,-999
19920207,0600,,TD,9.5N,159.3E,25,-999
19920207,1200,,TD,9.0N,157.7E,20,-999
19920207,1800,,TD,8.5N,156.0E,20,-999
19920208,0000,,TD,8.0N,154.1E,20,-999
19920208,0600,,TD,7.4N,152.2E,20,-999
19920208,1200,,TD,7.0N,150.2E,20,-999
19920208,1800,,TD,6.8N,148.2E,15,-999
19920209,0000,,TD,6.8N,146.2E,15,-999
