date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19920622,1200,,TD,11.5N,91.5W,25,1007
19920622,1800,,TD,11.4N,92.8W,25,1006
19920623,0000,,TD,11.2N,93.7W,30,1006
19920623,0600,,TD,11.3N,94.6W,30,1005
19920623,1200,,TD,12.0N,95.8W,30,1005
19920623,1800,,TS,12.3N,97.1W,35,1003
19920624,0000,,TS,12.7N,98.2W,40,1001
19920624,0600,,TS,12.9N,99.3W,45,999
19920624,1200,,TS,13.0N,100.2W,55,994
19920624,1800,,HU,13.2N,101.0W,65,987
19920625,0000,,HU,13.4N,101.8W,70,983
19920625,0600,,HU,13.7N,102.7W,70,981
19920625,1200,,HU,13.8N,103.6W,75,979
19920625,1800,,HU,13.9N,104.5W,75,978
19920626,0000,,HU,14.0N,105.5W,80,976
19920626,0600,,HU,14.2N,106.5W,85,973
19920626,1200,,HU,14.3N,107.4W,90,970
19920626,1800,,HU,14.4N,108.5W,100,960
19920627,0000,,HU,14.5N,109.6W,115,948
19920627,0600,,HU,14.7N,110.7W,125,936
19920627,1200,,HU,14.9N,111.7W,125,935
19920627,1800,,HU,15.2N,112.7W,125,936
19920628,0000,,HU,15.5N,113.6W,120,939
19920628,0600,,HU,15.8N,114.5W,120,942
19920628,1200,,HU,16.1N,115.5W,115,948
19920628,1800,,HU,16.5N,116.4W,110,952
19920629,0000,,HU,17.0N,117.5W,100,960
19920629,0600,,HU,17.3N,118.5W,90,965
19920629,1200,,HU,17.4N,119.5W,80,975
19920629,1800,,HU,17.4N,120.4W,75,979
19920630,0000,,HU,17.3N,121.2W,80,975
19920630,0600,,HU,17.5N,122.2W,90,971
19920630,1200,,HU,17.6N,123.1W,90,970
19920630,1800,,HU,17.3N,123.8W,85,972
19920701,0000,,HU,17.3N,124.7W,80,975
19920701,0600,,HU,17.3N,125.4W,75,977
19920701,1200,,HU,17.4N,126.1W,70,980
19920701,1800,,HU,17.4N,126.9W,65,984
19920702,0000,,TS,17.3N,127.6W,60,989
19920702,0600,,TS,17.2N,128.2W,50,994
19920702,1200,,TS,17.2N,128.8W,40,1000
19920702,1800,,TS,17.5N,129.4W,35,1004
19920703,0000,,TD,17.6N,130.0W,30,1005
19920703,0600,,TD,17.8N,130.5W,30,1005
19920703,1200,,TD,18.1N,130.9W,25,1006
19920703,1800,,TD,18.6N,131.2W,25,1006
19920704,0000,,TD,19.2N,131.7W,25,1007
19920704,0600,,TD,19.7N,132.3W,25,1008
19920704,1200,,TD,20.1N,132.9W,25,1009
19920704,1800,,TD,20.3N,133.6W,20,1010
