date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19920726,0600,,TD,13.1N,114.0W,25,1009
19920726,1200,,TD,13.4N,115.3W,25,1009
19920726,1800,,TD,13.6N,116.5W,30,1008
19920727,0000,,TD,13.7N,117.5W,30,1008
19920727,0600,,TD,13.7N,118.4W,30,1007
19920727,1200,,TS,13.5N,119.1W,35,1005
19920727,1800,,TS,13.3N,120.1W,40,1000
19920728,0000,,TS,13.0N,121.2W,50,995
19920728,0600,,TS,12.7N,122.2W,55,993
19920728,1200,,TS,12.5N,123.2W,55,993
19920728,1800,,TS,12.4N,123.9W,55,992
19920729,0000,,TS,12.4N,124.7W,50,993
19920729,0600,,TS,12.6N,125.6W,50,997
19920729,1200,,TS,12.8N,126.7W,45,1000
19920729,1800,,TS,13.1N,127.8W,45,1000
19920730,0000,,TS,13.4N,129.0W,45,1000
19920730,0600,,TS,13.7N,130.1W,40,1000
19920730,1200,,TS,14.3N,131.6W,35,1005
19920730,1800,,TD,15.0N,133.0W,25,1008
