date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19920820,0000,,TD,15.5N,106.0W,25,1011
19920820,0600,,TD,16.2N,107.2W,30,1009
19920820,1200,,TD,16.8N,108.3W,30,1008
19920820,1800,,TS,17.5N,109.4W,35,1005
19920821,0000,,TS,18.2N,110.4W,35,1004
19920821,0600,,TS,18.9N,111.3W,40,1003
19920821,1200,,TS,19.7N,112.2W,40,1002
19920821,1800,,TS,20.5N,113.0W,45,1000
19920822,0000,,TS,21.5N,113.6W,50,998
19920822,0600,,TS,22.4N,113.9W,55,994
19920822,1200,,TS,23.2N,114.1W,60,990
19920822,1800,,HU,24.0N,114.1W,70,985
19920823,0000,,HU,25.0N,114.0W,70,985
19920823,0600,,HU,26.0N,113.7W,65,987
19920823,1000,L,HU,26.8N,113.3W,65,988
19920823,1200,,TS,27.1N,113.3W,55,994
19920823,1800,,TS,28.4N,112.5W,45,996
19920823,2000,L,TS,29.0N,112.2W,50,995
19920824,0000,,TS,30.0N,111.7W,40,998
19920824,0600,,TS,32.0N,110.5W,35,999
19920824,1200,,TD,33.5N,109.0W,25,1004
19920824,1800,,TD,35.0N,107.0W,20,1006
