date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19920913,1200,,TD,16.8N,111.0W,25,1010
19920913,1800,,TD,17.2N,111.2W,30,1009
19920914,0000,,TD,17.5N,111.4W,30,1009
19920914,0600,,TD,17.7N,111.9W,30,1008
19920914,1200,,TS,17.9N,112.3W,35,1005
19920914,1800,,TS,18.0N,112.6W,50,997
19920915,0000,,TS,18.1N,112.8W,55,994
19920915,0600,,TS,18.2N,113.0W,60,992
19920915,1200,,TS,18.3N,113.2W,60,992
19920915,1800,,TS,18.4N,113.5W,60,993
19920916,0000,,TS,18.5N,114.0W,55,994
19920916,0600,,TS,18.7N,115.0W,55,994
19920916,1200,,TS,18.9N,116.4W,55,995
19920916,1800,,TS,19.2N,117.8W,55,995
19920917,0000,,TS,19.5N,119.2W,55,995
19920917,0600,,TS,19.7N,120.6W,55,995
19920917,1200,,TS,19.4N,121.9W,55,995
19920917,1800,,TS,19.2N,123.0W,55,995
19920918,0000,,TS,19.0N,124.1W,55,994
19920918,0600,,TS,19.2N,125.0W,60,991
19920918,1200,,TS,19.3N,125.7W,60,991
19920918,1800,,TS,19.4N,126.3W,55,994
19920919,0000,,TS,19.5N,126.9W,45,1000
19920919,0600,,TS,19.5N,127.5W,40,1002
19920919,1200,,TS,19.5N,128.0W,45,1000
19920919,1800,,TS,19.6N,128.4W,50,998
19920920,0000,,TS,19.7N,128.8W,45,1000
19920920,0600,,TS,19.7N,129.2W,45,1000
19920920,1200,,TS,19.8N,129.5W,45,1000
19920920,1800,,TS,19.7N,129.8W,45,1000
19920921,0000,,TS,19.6N,130.1W,40,1002
19920921,0600,,TS,19.5N,130.4W,40,1002
19920921,1200,,TS,19.4N,130.7W,40,1001
19920921,1800,,TS,19.3N,131.1W,45,1000
19920922,0000,,TS,19.2N,131.5W,50,997
19920922,0600,,TS,19.1N,132.0W,55,994
19920922,1200,,TS,19.0N,132.5W,60,990
19920922,1800,,HU,19.0N,133.0W,70,984
19920923,0000,,HU,19.0N,133.8W,75,980
19920923,0600,,HU,18.9N,134.8W,85,975
19920923,1200,,HU,18.8N,135.9W,80,978
19920923,1800,,HU,18.5N,137.1W,75,981
19920924,0000,,HU,18.3N,138.2W,65,985
19920924,0600,,HU,18.3N,139.3W,65,990
19920924,1200,,TS,18.3N,140.5W,60,992
19920924,1800,,TS,18.2N,141.9W,55,994
19920925,0000,,TS,18.2N,143.2W,50,997
19920925,0600,,TS,18.2N,143.8W,50,998
19920925,1200,,TS,18.4N,144.9W,45,1000
19920925,1800,,TS,18.4N,145.3W,45,1001
19920926,0000,,TS,18.4N,145.7W,45,1001
19920926,0600,,TS,18.3N,146.9W,40,1002
19920926,1200,,TS,18.3N,147.4W,40,1002
19920926,1800,,TS,18.3N,148.2W,40,1003
19920927,0000,,TS,18.1N,150.0W,40,1003
19920927,0600,,TS,18.1N,150.0W,40,1003
19920927,1200,,TS,18.2N,150.3W,40,1003
19920927,1800,,TS,18.3N,150.2W,40,1003
19920928,0000,,TS,18.6N,149.6W,40,1003
19920928,0600,,TS,18.6N,150.1W,40,1003
19920928,1200,,TS,18.9N,150.0W,40,1002
19920928,1800,,TS,19.2N,149.5W,45,1001
19920929,0000,,TS,19.4N,149.2W,45,1000
19920929,0600,,TS,19.6N,148.7W,45,999
19920929,1200,,TS,19.7N,148.5W,45,1000
19920929,1800,,TS,19.8N,147.9W,45,1001
19920930,0000,,TS,20.0N,147.2W,40,1002
19920930,0600,,TS,20.2N,147.0W,35,1004
19920930,1200,,TS,20.9N,146.6W,35,1005
19920930,1800,,TD,21.5N,146.5W,30,1008
