date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19921001,0600,,TD,13.5N,100.4W,25,1009
19921001,1200,,TD,13.9N,100.7W,30,1007
19921001,1800,,TS,14.4N,101.1W,35,1005
19921002,0000,,TS,14.8N,101.6W,40,1002
19921002,0600,,TS,15.1N,102.1W,50,997
19921002,1200,,HU,15.4N,102.5W,70,985
19921002,1800,,HU,15.6N,102.6W,95,965
19921003,0000,,HU,15.9N,102.6W,115,948
19921003,0600,,HU,16.3N,102.7W,110,952
19921003,1200,,HU,16.7N,102.6W,100,958
19921003,1800,,HU,17.3N,102.7W,100,962
19921004,0000,,HU,18.1N,103.2W,95,965
19921004,0300,L,HU,18.3N,103.5W,95,965
19921004,0600,,HU,18.6N,103.7W,65,987
19921004,1200,,TS,19.2N,104.2W,45,1000
19921004,1800,,TD,19.6N,104.5W,30,1007
19921005,0000,,TD,19.9N,104.8W,25,1009
19921005,0600,,TD,20.0N,105.3W,25,1010
19921005,1200,,TD,20.2N,106.1W,20,1011
19921005,1800,,TD,20.6N,107.6W,20,1012
