date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19921025,1200,,TD,12.6N,111.4W,25,1009
19921025,1800,,TD,13.1N,112.3W,30,1008
19921026,0000,,TS,13.4N,113.1W,35,1005
19921026,0600,,TS,13.8N,113.8W,35,1005
19921026,1200,,TS,14.3N,114.6W,35,1005
19921026,1800,,TS,14.9N,115.4W,35,1005
19921027,0000,,TS,15.5N,116.1W,35,1006
19921027,0600,,TD,16.0N,116.5W,30,1008
19921027,1200,,TD,16.5N,116.7W,30,1008
19921027,1800,,TD,17.0N,116.8W,30,1007
19921028,0000,,TS,17.4N,116.8W,35,1005
19921028,0600,,TS,17.7N,116.8W,35,1005
19921028,1200,,TS,18.0N,116.7W,35,1005
19921028,1800,,TS,18.3N,116.6W,35,1005
19921029,0000,,TS,18.5N,116.4W,35,1005
19921029,0600,,TS,18.8N,116.1W,35,1005
19921029,1200,,TS,19.1N,115.6W,40,1003
19921029,1800,,TS,19.3N,114.9W,45,1000
19921030,0000,,TS,19.5N,114.1W,40,1002
19921030,0600,,TS,19.6N,113.3W,35,1005
19921030,1200,,TD,19.7N,112.4W,30,1009
19921030,1800,,TD,19.8N,111.5W,25,1009
