date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19930704,1200,,TD,12.9N,97.7W,25,1007
19930704,1800,,TD,12.8N,98.2W,30,1006
19930705,0000,,TS,12.7N,98.9W,35,1005
19930705,0600,,TS,12.8N,99.4W,40,1002
19930705,1200,,TS,12.9N,99.8W,50,998
19930705,1800,,TS,13.2N,100.1W,60,989
19930706,0000,,HU,13.6N,100.1W,70,982
19930706,0600,,HU,14.3N,100.0W,80,975
19930706,1200,,HU,15.4N,100.4W,85,972
19930706,1800,,HU,16.1N,101.6W,90,970
19930707,0000,,HU,16.8N,102.3W,90,969
19930707,0600,,HU,17.5N,103.2W,90,968
19930707,1200,,HU,18.2N,104.1W,95,966
19930707,1800,L,HU,19.4N,105.0W,85,973
19930708,0000,,TS,20.5N,105.6W,60,989
19930708,0600,,TS,22.2N,106.9W,50,997
19930708,1200,,TS,23.5N,108.6W,40,1003
19930708,1700,L,TD,23.8N,109.9W,30,1005
19930708,1800,,TD,23.8N,110.0W,30,1006
19930709,0000,,TD,23.5N,111.0W,20,1007
