date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19930815,0000,,TD,14.8N,102.4W,30,1009
19930815,0600,,TD,15.4N,103.2W,30,1007
19930815,1200,,TS,16.2N,104.0W,35,1005
19930815,1800,,TS,17.0N,105.0W,50,999
19930816,0000,,TS,17.6N,106.0W,55,994
19930816,0600,,TS,18.1N,106.9W,60,992
19930816,1200,,HU,18.5N,107.5W,70,982
19930816,1800,,HU,18.8N,108.0W,90,970
19930817,0000,,HU,19.1N,108.4W,90,970
19930817,0600,,HU,19.2N,108.8W,85,972
19930817,1200,,HU,19.2N,109.4W,80,975
19930817,1800,,HU,19.1N,110.0W,80,978
19930818,0000,,HU,18.9N,110.6W,75,980
19930818,0600,,HU,18.7N,111.2W,75,982
19930818,1200,,HU,18.4N,112.0W,70,983
19930818,1800,,HU,18.3N,112.8W,85,975
19930819,0000,,HU,18.3N,113.7W,95,965
19930819,0600,,HU,18.3N,114.7W,100,960
19930819,1200,,HU,18.2N,115.8W,115,949
19930819,1800,,HU,18.2N,116.8W,115,948
19930820,0000,,HU,18.2N,117.8W,115,948
19930820,0600,,HU,18.3N,118.8W,115,948
19930820,1200,,HU,18.4N,119.8W,115,949
19930820,1800,,HU,18.5N,120.7W,110,953
19930821,0000,,HU,18.6N,121.6W,105,956
19930821,0600,,HU,18.6N,122.5W,100,960
19930821,1200,,HU,18.7N,123.3W,95,966
19930821,1800,,HU,18.8N,124.3W,90,969
19930822,0000,,HU,19.0N,125.2W,90,970
19930822,0600,,HU,19.1N,126.2W,90,971
19930822,1200,,HU,19.2N,127.1W,85,973
19930822,1800,,HU,19.3N,127.9W,80,975
19930823,0000,,HU,19.5N,128.7W,80,977
19930823,0600,,HU,19.7N,129.4W,80,978
19930823,1200,,HU,20.0N,130.1W,75,979
19930823,1800,,HU,20.2N,131.0W,75,979
19930824,0000,,HU,20.4N,131.6W,75,980
19930824,0600,,HU,20.6N,132.3W,75,980
19930824,1200,,HU,20.5N,132.9W,75,981
19930824,1800,,HU,20.4N,133.5W,75,981
19930825,0000,,HU,20.2N,133.9W,70,983
19930825,0600,,HU,20.1N,134.3W,70,985
19930825,1200,,HU,19.9N,134.7W,65,987
19930825,1800,,HU,19.6N,135.0W,65,989
19930826,0000,,TS,19.5N,135.3W,60,992
19930826,0600,,TS,19.6N,135.6W,50,996
19930826,1200,,TS,19.7N,135.9W,50,998
19930826,1800,,TS,19.9N,136.5W,45,999
19930827,0000,,TS,20.1N,136.9W,45,1000
19930827,0600,,TS,20.6N,137.4W,45,1001
19930827,1200,,TS,20.9N,138.1W,45,1002
19930827,1800,,TS,21.1N,138.9W,35,1005
19930828,0000,,TD,21.2N,139.7W,30,1008
19930828,0600,,TD,21.3N,140.2W,30,1009
19930828,1200,,TD,21.3N,140.6W,25,1010
19930828,1800,,TD,21.3N,141.0W,25,1011
