date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19931002,1800,,TD,13.4N,111.2W,25,1008
19931003,0000,,TD,14.2N,111.8W,30,1005
19931003,0600,,TD,14.9N,112.5W,30,1003
19931003,1200,,TS,15.7N,113.2W,35,1002
19931003,1800,,TS,16.7N,113.8W,40,1001
19931004,0000,,TS,17.5N,114.4W,45,1000
19931004,0600,,TS,18.0N,115.0W,45,1000
19931004,1200,,TS,18.1N,115.7W,40,1001
19931004,1800,,TS,18.1N,116.5W,35,1004
19931005,0000,,TD,18.2N,117.1W,30,1007
19931005,0600,,TD,18.5N,117.5W,30,1008
19931005,1200,,TD,19.0N,117.8W,30,1009
19931005,1800,,TD,19.7N,118.0W,30,1010
19931006,0000,,TD,20.4N,118.1W,30,1011
19931006,0600,,TD,20.9N,118.3W,30,1012
19931006,1200,,TD,21.3N,118.5W,25,1013
