date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19940903,1800,,TD,17.7N,108.6W,30,1009
19940904,0000,,TD,18.0N,109.8W,30,1009
19940904,0600,,TS,18.2N,110.8W,35,1006
19940904,1200,,TS,18.5N,111.9W,35,1005
19940904,1800,,TS,18.3N,113.0W,45,1002
19940905,0000,,TS,18.2N,114.1W,45,1000
19940905,0600,,TS,18.2N,115.5W,55,995
19940905,1200,,TS,18.1N,116.8W,60,986
19940905,1800,,HU,18.0N,118.3W,70,980
19940906,0000,,HU,18.0N,119.7W,90,970
19940906,0600,,HU,18.0N,121.1W,100,960
19940906,1200,,HU,18.1N,122.5W,110,952
19940906,1800,,HU,18.4N,123.9W,115,949
19940907,0000,,HU,18.6N,125.2W,115,948
19940907,0600,,HU,19.0N,126.5W,115,949
19940907,1200,,HU,19.4N,127.7W,105,955
19940907,1800,,HU,19.7N,129.0W,95,970
19940908,0000,,HU,20.1N,130.2W,80,979
19940908,0600,,HU,20.5N,131.5W,65,986
19940908,1200,,TS,20.9N,132.7W,55,994
19940908,1800,,TS,21.1N,133.9W,50,997
19940909,0000,,TS,21.3N,135.1W,40,1002
19940909,0600,,TS,21.4N,136.4W,35,1008
19940909,1200,,TD,21.4N,137.7W,30,1009
19940909,1800,,TD,21.5N,138.9W,25,1009
19940910,0000,,TD,21.4N,140.0W,25,1010
19940910,0600,,TD,21.3N,141.4W,25,1010
19940910,1200,,TD,21.2N,142.9W,25,1010
