date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19950801,1800,,TD,15.4N,110.8W,25,1008
19950802,0000,,TD,14.9N,112.0W,25,1008
19950802,0600,,TD,14.5N,112.6W,25,1008
19950802,1200,,TD,14.1N,112.9W,25,1007
19950802,1800,,TD,13.8N,113.2W,25,1006
19950803,0000,,TD,13.8N,113.7W,30,1006
19950803,0600,,TD,14.1N,114.1W,30,1005
19950803,1200,,TD,14.6N,114.5W,30,1005
19950803,1800,,TD,15.3N,115.1W,30,1005
19950804,0000,,TD,15.9N,115.9W,30,1005
19950804,0600,,TS,16.2N,116.8W,35,1004
19950804,1200,,TS,16.5N,117.7W,45,1000
19950804,1800,,TS,16.8N,118.5W,50,997
19950805,0000,,TS,17.2N,119.2W,55,994
19950805,0600,,TS,17.6N,119.9W,55,994
19950805,1200,,TS,18.1N,120.3W,50,997
19950805,1800,,TS,18.6N,120.7W,45,1000
19950806,0000,,TS,18.9N,121.0W,40,1002
19950806,0600,,TS,19.2N,121.3W,35,1004
19950806,1200,,TD,19.4N,121.3W,30,1004
19950806,1800,,TD,19.6N,121.2W,30,1004
19950807,0000,,TD,19.9N,121.2W,30,1004
19950807,0600,,TD,20.3N,121.1W,30,1004
19950807,1200,,TD,20.5N,121.0W,25,1004
19950807,1800,,TD,20.6N,120.8W,25,1005
19950808,0000,,TD,20.7N,120.6W,25,1006
