date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19950820,1800,,TD,15.5N,99.1W,30,1007
19950821,0000,,TS,15.7N,100.0W,35,1005
19950821,0600,,TS,15.8N,101.5W,45,1004
19950821,1200,,TS,15.9N,102.7W,45,1004
19950821,1800,,TS,16.1N,104.5W,45,1004
19950822,0000,,TS,16.2N,106.1W,45,1004
19950822,0600,,TS,16.2N,107.4W,45,1004
19950822,1200,,TS,16.0N,108.4W,45,1004
19950822,1800,,TS,15.8N,109.2W,45,1003
19950823,0000,,TS,15.9N,110.0W,45,1002
19950823,0600,,TS,16.2N,110.6W,45,1000
19950823,1200,,TS,16.9N,111.2W,45,999
19950823,1800,,TS,17.7N,111.9W,45,998
19950824,0000,,TS,18.5N,112.8W,50,997
19950824,0600,,TS,19.2N,113.7W,50,996
19950824,1200,,TS,19.7N,114.7W,55,994
19950824,1800,,TS,20.1N,115.7W,55,993
19950825,0000,,TS,20.5N,116.9W,55,994
19950825,0600,,TS,20.8N,117.4W,55,994
19950825,1200,,TS,21.2N,118.1W,55,995
19950825,1800,,TS,21.5N,118.8W,55,997
19950826,0000,,TS,21.9N,119.4W,50,1000
19950826,0600,,TS,22.0N,119.6W,40,1005
19950826,1200,,TS,22.0N,119.8W,35,1008
19950826,1800,,TD,22.0N,120.0W,30,1009
19950827,0000,,TD,22.0N,120.1W,25,1009
19950827,0600,,TD,22.1N,120.4W,25,1009
19950827,1200,,TD,22.7N,120.4W,25,1009
