date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19950901,0000,,TD,15.7N,103.8W,25,1007
19950901,0600,,TD,16.0N,104.9W,25,1007
19950901,1200,,TD,16.4N,105.9W,25,1006
19950901,1800,,TD,17.0N,106.6W,30,1006
19950902,0000,,TD,17.7N,107.0W,30,1005
19950902,0600,,TD,18.2N,107.1W,30,1004
19950902,1200,,TS,18.7N,107.2W,35,1000
19950902,1800,,TS,19.3N,107.3W,45,995
19950903,0000,,TS,19.7N,107.4W,60,990
19950903,0600,,HU,20.1N,107.5W,75,983
19950903,1200,,HU,20.6N,107.5W,75,982
19950903,1800,,HU,21.0N,107.6W,75,981
19950904,0000,,HU,21.6N,108.0W,75,980
19950904,0600,,HU,22.1N,108.8W,80,975
19950904,1200,,HU,22.6N,109.7W,85,970
19950904,1800,,HU,23.2N,110.7W,80,975
19950905,0000,,HU,23.7N,112.0W,75,979
19950905,0600,,HU,24.2N,113.4W,75,981
19950905,1200,,HU,24.5N,114.9W,70,984
19950905,1800,,HU,24.6N,116.4W,65,987
19950906,0000,,TS,24.7N,117.9W,55,990
19950906,0600,,TS,24.7N,119.2W,50,996
19950906,1200,,TS,24.7N,120.5W,40,1001
19950906,1800,,TS,24.6N,121.7W,35,1004
19950907,0000,,TS,24.5N,123.0W,35,1005
19950907,0600,,TD,24.4N,124.3W,30,1007
19950907,1200,,TD,24.4N,125.5W,30,1008
19950907,1800,,TD,24.6N,126.7W,30,1009
19950908,0000,,TD,24.6N,127.7W,25,1009
