date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19950916,1800,,TD,14.8N,105.0W,30,1008
19950917,0000,,TD,15.1N,105.8W,30,1006
19950917,0600,,TD,15.4N,106.3W,30,1006
19950917,1200,,TS,15.6N,106.7W,35,1005
19950917,1800,,TS,15.8N,107.0W,45,1000
19950918,0000,,TS,16.1N,107.5W,50,997
19950918,0600,,TS,16.2N,108.1W,55,994
19950918,1200,,HU,16.3N,108.6W,70,985
19950918,1800,,HU,16.4N,109.1W,85,974
19950919,0000,,HU,16.6N,109.4W,100,960
19950919,0600,,HU,16.7N,109.8W,105,958
19950919,1200,,HU,16.9N,110.4W,105,955
19950919,1800,,HU,17.2N,111.2W,105,955
19950920,0000,,HU,17.5N,111.6W,110,950
19950920,0600,,HU,17.8N,112.4W,120,942
19950920,1200,,HU,17.8N,113.5W,130,930
19950920,1800,,HU,17.8N,114.3W,130,933
19950921,0000,,HU,18.0N,114.7W,120,942
19950921,0600,,HU,18.2N,115.3W,110,950
19950921,1200,,HU,18.3N,115.9W,100,960
19950921,1800,,HU,18.5N,116.5W,95,963
19950922,0000,,HU,18.8N,117.1W,95,965
19950922,0600,,HU,18.9N,117.6W,90,970
19950922,1200,,HU,19.1N,118.5W,85,975
19950922,1800,,HU,19.3N,118.9W,85,974
19950923,0000,,HU,19.6N,119.2W,90,970
19950923,0600,,HU,20.2N,119.3W,90,970
19950923,1200,,HU,20.6N,119.4W,90,970
19950923,1800,,HU,21.4N,119.2W,90,971
19950924,0000,,HU,22.3N,118.5W,85,972
19950924,0600,,HU,23.2N,118.0W,80,977
19950924,1200,,HU,23.9N,117.7W,70,983
19950924,1800,,HU,24.1N,117.6W,65,987
19950925,0000,,TS,24.2N,117.5W,55,994
19950925,0600,,TS,24.0N,117.5W,50,997
19950925,1200,,TS,23.7N,117.4W,45,1000
19950925,1800,,TS,23.3N,117.3W,35,1005
19950926,0000,,TD,23.0N,117.3W,30,1006
19950926,0600,,TD,22.9N,117.2W,30,1006
19950926,1200,,TD,22.9N,117.1W,25,1006
19950926,1800,,TD,23.1N,117.0W,25,1007
