date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19960916,0000,,TD,12.8N,143.4W,30,-999
19960916,0600,,TD,13.0N,144.3W,25,-999
19960916,1200,,TD,13.4N,145.2W,25,-999
19960916,1800,,TD,13.6N,146.3W,30,-999
19960917,0000,,TD,13.9N,147.0W,30,-999
19960917,0600,,TD,14.0N,147.5W,30,-999
19960917,1200,,TD,14.3N,148.1W,30,-999
19960917,1800,,TD,14.6N,148.6W,30,-999
19960918,0000,,TD,14.8N,149.7W,30,-999
19960918,0600,,TD,14.6N,150.7W,30,-999
19960918,1200,,TD,14.3N,151.7W,30,-999
19960918,1800,,TD,14.3N,152.8W,30,-999
19960919,0000,,TD,14.4N,154.0W,30,-999
19960919,0600,,TD,14.6N,155.2W,30,-999
19960919,1200,,TD,14.9N,156.7W,30,-999
19960919,1800,,TD,14.9N,157.8W,30,-999
19960920,0000,,TD,15.0N,159.1W,30,-999
19960920,0600,,TD,15.3N,160.4W,25,-999
19960920,1200,,TD,15.7N,161.6W,25,-999
19960920,1800,,TD,16.4N,162.6W,25,-999
