date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19960620,0000,,TD,13.1N,98.7W,30,1009
19960620,0600,,TD,13.5N,99.3W,30,1009
19960620,1200,,TD,13.9N,99.9W,30,1007
19960620,1800,,TS,14.4N,100.3W,35,1005
19960621,0000,,TS,14.9N,100.7W,40,1002
19960621,0600,,TS,15.4N,101.1W,45,1000
19960621,1200,,TS,15.7N,101.5W,50,997
19960621,1800,,TS,15.8N,102.0W,55,994
19960622,0000,,HU,15.8N,102.4W,65,987
19960622,0600,,HU,15.9N,102.7W,75,985
19960622,1200,,HU,16.2N,102.6W,85,978
19960622,1800,,HU,16.6N,102.6W,85,975
19960623,0000,,HU,16.7N,102.8W,85,972
19960623,0600,,HU,16.9N,102.9W,85,970
19960623,1200,,HU,17.2N,102.8W,90,969
19960623,1800,,HU,17.5N,102.6W,90,970
19960624,0000,L,HU,18.0N,102.4W,90,973
19960624,0600,,HU,17.8N,102.6W,80,975
19960624,1200,,HU,17.7N,102.8W,65,979
19960624,1800,,TS,17.7N,102.8W,60,985
19960625,0000,,TS,17.6N,102.7W,55,995
19960625,0600,,TS,17.5N,102.4W,45,1000
19960625,1200,,TS,17.3N,102.5W,35,1005
19960625,1800,,TD,17.3N,102.7W,30,1009
19960626,0000,,TD,17.4N,102.9W,30,1009
19960626,0600,,TD,17.5N,103.5W,30,1009
19960626,1200,,TD,17.7N,104.0W,30,1009
19960626,1800,,TD,18.0N,104.5W,30,1009
19960627,0000,,TD,18.4N,105.0W,25,1009
19960627,0600,,TD,18.7N,105.5W,25,1009
