date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19960729,0000,,TS,13.0N,89.7W,35,1004
19960729,0600,,TS,13.1N,91.6W,40,1001
19960729,1200,,HU,13.3N,93.4W,65,987
19960729,1800,,HU,13.4N,95.2W,65,982
19960730,0000,,HU,13.6N,96.9W,70,980
19960730,0600,,HU,13.9N,98.7W,75,977
19960730,1200,,HU,14.3N,100.4W,80,975
19960730,1800,,HU,14.9N,102.0W,85,970
19960731,0000,,HU,15.5N,103.4W,90,968
19960731,0600,,HU,16.0N,104.7W,95,965
19960731,1200,,HU,16.5N,105.9W,100,960
19960731,1800,,HU,17.0N,107.0W,105,958
19960801,0000,,HU,17.6N,108.0W,115,952
19960801,0600,,HU,18.2N,109.0W,115,948
19960801,1200,,HU,18.9N,110.0W,115,946
19960801,1800,,HU,19.5N,111.2W,115,947
19960802,0000,,HU,20.0N,112.6W,115,948
19960802,0600,,HU,20.4N,113.9W,115,950
19960802,1200,,HU,20.6N,115.4W,110,955
19960802,1800,,HU,20.8N,116.8W,100,965
19960803,0000,,HU,20.9N,118.1W,80,970
19960803,0600,,HU,21.1N,119.3W,65,975
19960803,1200,,TS,21.1N,120.3W,60,980
19960803,1800,,TS,21.2N,121.3W,55,988
19960804,0000,,TS,21.4N,122.3W,50,993
19960804,0600,,TS,21.6N,123.2W,45,995
19960804,1200,,TS,21.7N,124.2W,40,1000
19960804,1800,,TS,21.9N,125.3W,35,1003
19960805,0000,,TD,22.1N,126.4W,30,1005
19960805,0600,,TD,22.3N,127.5W,30,1009
19960805,1200,,TD,22.4N,128.7W,30,1009
19960805,1800,,TD,22.5N,129.9W,25,1009
19960806,0000,,TD,22.5N,130.0W,20,1009
