date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19960910,0000,,TD,14.3N,101.9W,25,1010
19960910,0600,,TD,14.8N,102.7W,25,1008
19960910,1200,,TD,15.2N,103.5W,30,1006
19960910,1800,,TS,15.8N,104.3W,35,1004
19960911,0000,,TS,16.4N,105.1W,45,1000
19960911,0600,,TS,17.1N,106.2W,55,991
19960911,1200,,HU,17.8N,107.3W,65,982
19960911,1800,,HU,18.4N,108.2W,80,973
19960912,0000,,HU,19.1N,108.9W,95,960
19960912,0600,,HU,19.8N,109.5W,105,955
19960912,1200,,HU,20.5N,110.0W,105,955
19960912,1800,,HU,21.1N,110.4W,100,958
19960913,0000,,HU,21.6N,110.6W,90,962
19960913,0600,,HU,22.1N,110.7W,85,968
19960913,1200,,HU,22.6N,110.7W,80,973
19960913,1800,,HU,23.3N,110.6W,75,978
19960913,2000,L,HU,23.6N,110.5W,75,980
19960914,0000,,HU,24.4N,110.2W,70,985
19960914,0600,L,HU,25.7N,109.6W,65,990
19960914,1200,,TS,27.3N,109.0W,45,1000
19960914,1800,,TD,28.0N,107.0W,30,1004
