date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19970714,1200,,TD,9.7N,109.0W,30,1006
19970714,1800,,TD,10.4N,110.1W,30,1006
19970715,0000,,TD,10.9N,111.1W,30,1006
19970715,0600,,TD,11.3N,112.0W,30,1005
19970715,1200,,TD,11.7N,112.5W,30,1005
19970715,1800,,TS,12.1N,113.0W,35,1004
19970716,0000,,TS,12.4N,113.7W,35,1003
19970716,0600,,TS,12.5N,114.5W,40,1000
19970716,1200,,TS,12.5N,115.1W,50,996
19970716,1800,,TS,12.6N,115.5W,55,990
19970717,0000,,TS,12.9N,116.0W,60,988
19970717,0600,,HU,13.4N,116.9W,65,987
19970717,1200,,HU,13.9N,117.9W,65,987
19970717,1800,,HU,14.4N,119.0W,65,987
19970718,0000,,HU,14.8N,120.1W,65,985
19970718,0600,,HU,15.1N,121.3W,75,979
19970718,1200,,HU,15.3N,122.5W,95,968
19970718,1800,,HU,15.4N,123.9W,100,960
19970719,0000,,HU,15.5N,125.3W,110,956
19970719,0600,,HU,15.6N,126.7W,115,951
19970719,1200,,HU,15.7N,128.1W,115,948
19970719,1800,,HU,15.8N,129.5W,115,951
19970720,0000,,HU,16.0N,131.0W,110,954
19970720,0600,,HU,16.3N,132.5W,105,957
19970720,1200,,HU,16.6N,134.1W,100,960
19970720,1800,,HU,16.9N,135.6W,95,965
19970721,0000,,HU,17.1N,137.2W,90,972
19970721,0600,,HU,17.3N,138.9W,70,980
19970721,1200,,TS,17.4N,140.8W,55,990
19970721,1800,,TS,17.5N,143.0W,45,995
19970722,0000,,TS,17.6N,145.4W,40,1000
19970722,0600,,TD,17.6N,147.9W,30,1005
19970722,1200,,TD,17.7N,150.2W,25,1005
