date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19970730,1200,,TD,11.0N,94.7W,25,1010
19970730,1800,,TD,11.3N,95.5W,30,1009
19970731,0000,,TD,11.6N,96.3W,30,1008
19970731,0600,,TS,11.9N,97.2W,35,1005
19970731,1200,,TS,12.1N,98.1W,40,1002
19970731,1800,,TS,12.2N,99.1W,45,1000
19970801,0000,,TS,12.4N,100.0W,50,997
19970801,0600,,TS,12.5N,101.0W,55,994
19970801,1200,,TS,12.6N,102.0W,60,990
19970801,1800,,HU,12.7N,103.0W,65,987
19970802,0000,,HU,13.0N,104.0W,70,983
19970802,0600,,HU,13.1N,105.0W,75,979
19970802,1200,,HU,13.2N,106.1W,90,969
19970802,1800,,HU,13.3N,107.1W,105,959
19970803,0000,,HU,13.4N,108.1W,115,947
19970803,0600,,HU,13.5N,109.1W,125,935
19970803,1200,,HU,13.6N,110.2W,135,925
19970803,1800,,HU,13.7N,111.4W,130,927
19970804,0000,,HU,13.9N,112.6W,130,929
19970804,0600,,HU,14.0N,113.9W,130,928
19970804,1200,,HU,14.1N,115.2W,135,925
19970804,1800,,HU,14.2N,116.6W,140,921
19970805,0000,,HU,14.3N,118.0W,140,919
19970805,0600,,HU,14.3N,119.5W,140,920
19970805,1200,,HU,14.4N,120.9W,140,921
19970805,1800,,HU,14.6N,122.4W,135,925
19970806,0000,,HU,14.8N,123.8W,130,930
19970806,0600,,HU,15.2N,125.2W,125,938
19970806,1200,,HU,15.5N,126.7W,115,948
19970806,1800,,HU,15.9N,128.2W,110,954
19970807,0000,,HU,16.2N,129.6W,100,960
19970807,0600,,HU,16.5N,130.9W,90,970
19970807,1200,,HU,16.9N,132.0W,80,979
19970807,1800,,HU,17.4N,133.0W,70,983
19970808,0000,,HU,17.8N,134.1W,65,987
19970808,0600,,TS,18.3N,135.1W,60,990
19970808,1200,,TS,18.9N,136.1W,55,993
19970808,1800,,TS,19.5N,137.0W,55,995
19970809,0000,,TS,20.0N,137.9W,50,997
19970809,0600,,TS,20.7N,138.6W,45,998
19970809,1200,,TS,21.3N,139.3W,45,1000
19970809,1800,,TS,21.9N,139.9W,45,1002
19970810,0000,,TS,22.6N,140.4W,40,1005
19970810,0600,,TS,23.3N,141.2W,35,1006
19970810,1200,,TS,24.2N,141.8W,35,1006
19970810,1800,,TD,25.0N,142.2W,30,1007
19970811,0000,,TD,25.9N,142.6W,30,1007
19970811,0600,,TD,26.8N,143.1W,30,1007
19970811,1200,,TD,27.6N,143.6W,30,1004
19970811,1800,,TS,28.4N,144.4W,35,1008
19970812,0000,,TS,29.0N,145.4W,35,1007
19970812,0600,,TS,29.5N,146.2W,40,1000
19970812,1200,,TS,29.8N,147.2W,40,1000
19970812,1800,,TS,30.2N,148.3W,40,1004
19970813,0000,,TS,30.7N,149.4W,40,1004
19970813,0600,,TS,31.0N,150.4W,40,1004
19970813,1200,,TS,31.5N,151.6W,40,1004
19970813,1800,,TS,32.2N,152.9W,45,1004
19970814,0000,,TS,33.0N,153.9W,55,1000
19970814,0600,,TS,33.8N,155.2W,50,1000
19970814,1200,,TS,34.6N,156.3W,45,1000
19970814,1800,,TS,35.6N,157.4W,40,1006
19970815,0000,,TS,36.8N,158.4W,35,1008
19970815,0600,,TS,38.0N,159.1W,35,1009
19970815,1200,,TD,39.3N,159.7W,30,1010
19970815,1800,,TD,40.5N,160.2W,30,1012
19970816,0000,,EX,41.8N,161.0W,30,1010
19970816,0600,,EX,43.1N,161.9W,30,1009
19970816,1200,,EX,44.3N,162.5W,30,1014
19970816,1800,,EX,45.5N,162.8W,30,1018
19970817,0000,,EX,46.7N,162.4W,25,1016
19970817,0600,,EX,47.6N,161.2W,30,1016
19970817,1200,,EX,48.3N,159.5W,25,1018
19970817,1800,,EX,48.9N,157.4W,25,1016
19970818,0000,,EX,49.5N,154.9W,25,1015
19970818,0600,,EX,49.9N,152.0W,25,1010
19970818,1200,,EX,50.4N,149.0W,30,1010
19970818,1800,,EX,50.7N,146.1W,25,1005
19970819,0000,,EX,51.1N,143.7W,30,1003
19970819,0600,,EX,51.2N,141.8W,30,1002
19970819,1200,,EX,50.3N,140.7W,30,1004
19970819,1800,,EX,49.3N,140.2W,30,1004
19970820,0000,,EX,48.0N,140.0W,30,1004
19970820,0600,,EX,46.5N,139.8W,30,1006
19970820,1200,,EX,45.0N,139.5W,30,1004
19970820,1800,,EX,43.7N,139.0W,30,1005
19970821,0000,,EX,42.7N,138.4W,25,1005
19970821,0600,,EX,42.0N,137.9W,25,1006
19970821,1200,,EX,41.4N,137.4W,25,1005
19970821,1800,,EX,40.8N,136.8W,25,1006
19970822,0000,,EX,40.2N,136.5W,25,1006
19970822,0600,,EX,39.8N,136.2W,30,1009
19970822,1200,,EX,39.4N,135.8W,25,1010
19970822,1800,,EX,39.0N,135.1W,25,1012
19970823,0000,,EX,38.8N,134.1W,25,1012
19970823,0600,,EX,38.7N,133.0W,25,1014
19970823,1200,,EX,38.8N,132.0W,20,1014
19970823,1800,,EX,38.8N,131.0W,20,1014
19970824,0000,,EX,39.0N,130.0W,20,1014
