date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19971005,1200,,TD,12.2N,96.6W,25,1009
19971005,1800,,TD,12.1N,96.0W,25,1009
19971006,0000,,TD,12.0N,95.5W,30,1008
19971006,0600,,TS,11.9N,95.0W,35,1005
19971006,1200,,TS,11.9N,94.5W,45,1000
19971006,1800,,TS,12.2N,94.2W,55,990
19971007,0000,,HU,12.5N,94.1W,70,977
19971007,0600,,HU,12.9N,94.2W,100,955
19971007,1200,,HU,13.2N,94.5W,115,948
19971007,1800,,HU,13.5N,94.9W,110,949
19971008,0000,,HU,13.8N,95.3W,100,955
19971008,0600,,HU,14.2N,95.6W,100,959
19971008,1200,,HU,14.6N,95.9W,110,954
19971008,1800,,HU,15.3N,96.3W,115,948
19971009,0000,L,HU,16.0N,97.6W,95,960
19971009,0600,,HU,16.7N,99.0W,70,973
19971009,1200,,TS,17.3N,100.4W,60,989
19971009,1800,,TS,17.9N,101.4W,50,1000
19971010,0000,,TS,18.6N,102.0W,40,1005
19971010,0600,,TD,19.2N,102.6W,30,1009
