date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19971107,0000,,TD,9.0N,102.5W,25,1008
19971107,0600,,TD,9.5N,102.9W,30,1008
19971107,1200,,TD,10.0N,103.2W,30,1008
19971107,1800,,TD,10.7N,103.5W,30,1007
19971108,0000,,TD,11.4N,103.7W,30,1006
19971108,0600,,TD,12.1N,103.7W,30,1005
19971108,1200,,TS,12.7N,103.5W,35,1004
19971108,1800,,TS,13.3N,102.9W,40,1002
19971109,0000,,TS,14.2N,102.0W,50,997
19971109,0600,,HU,14.9N,100.9W,65,987
19971109,1200,,HU,15.3N,99.8W,85,973
19971109,1800,,HU,15.6N,98.6W,80,977
19971110,0000,,HU,15.8N,97.5W,75,981
19971110,0100,L,HU,15.9N,97.1W,75,981
19971110,0600,,HU,15.9N,96.0W,65,987
19971110,1200,,TS,16.3N,94.5W,40,1002
19971110,1800,,TD,17.0N,93.0W,25,1009
