date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19990709,0600,,TD,12.9N,103.0W,30,1008
19990709,1200,,TS,13.1N,103.9W,35,1005
19990709,1800,,TS,13.4N,105.2W,40,1002
19990710,0000,,TS,13.8N,106.7W,45,1000
19990710,0600,,TS,14.1N,108.0W,45,1000
19990710,1200,,TS,14.3N,109.1W,45,1000
19990710,1800,,TS,14.4N,110.2W,50,997
19990711,0000,,TS,14.4N,111.5W,55,994
19990711,0600,,TS,14.4N,112.9W,60,990
19990711,1200,,HU,14.3N,114.2W,65,985
19990711,1800,,HU,14.1N,115.2W,75,980
19990712,0000,,HU,14.0N,116.3W,85,975
19990712,0600,,HU,14.0N,117.4W,90,970
19990712,1200,,HU,14.1N,118.3W,90,970
19990712,1800,,HU,14.2N,119.3W,100,960
19990713,0000,,HU,14.5N,120.3W,105,956
19990713,0600,,HU,14.7N,121.3W,105,955
19990713,1200,,HU,15.1N,122.2W,105,956
19990713,1800,,HU,15.4N,123.0W,100,960
19990714,0000,,HU,16.0N,124.0W,100,961
19990714,0600,,HU,16.4N,124.9W,95,965
19990714,1200,,HU,17.0N,125.7W,95,967
19990714,1800,,HU,17.5N,126.5W,90,970
19990715,0000,,HU,17.9N,127.2W,85,975
19990715,0600,,HU,18.4N,128.0W,80,978
19990715,1200,,HU,18.7N,128.8W,75,980
19990715,1800,,HU,19.0N,129.4W,65,987
19990716,0000,,TS,19.3N,130.4W,60,992
19990716,0600,,TS,19.6N,131.5W,55,995
19990716,1200,,TS,19.7N,132.2W,45,1000
19990716,1800,,TD,19.7N,132.7W,30,1004
19990717,0000,,TD,19.8N,133.8W,25,1007
