date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19991008,1200,,TD,17.3N,105.0W,30,1005
19991008,1800,,TS,17.7N,105.1W,35,1004
19991009,0000,,TS,18.1N,105.3W,40,1000
19991009,0600,,TS,18.4N,105.7W,45,998
19991009,1200,,TS,18.8N,106.4W,45,998
19991009,1800,,TS,19.0N,107.1W,50,996
19991010,0000,,TS,19.1N,108.0W,50,997
19991010,0600,,TS,19.2N,109.0W,45,998
19991010,1200,,TS,19.1N,110.0W,40,1000
19991010,1800,,TS,18.9N,110.8W,35,1003
19991011,0000,,TD,18.4N,111.3W,30,1004
19991011,0600,,TD,18.0N,112.0W,25,1007
