date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20000723,0000,,TD,10.1N,102.3W,25,1009
20000723,0600,,TD,10.3N,104.1W,30,1009
20000723,1200,,TD,10.6N,105.9W,30,1007
20000723,1800,,TS,10.9N,107.6W,35,1004
20000724,0000,,TS,11.3N,109.1W,45,1001
20000724,0600,,TS,11.8N,110.7W,55,997
20000724,1200,,HU,12.3N,112.3W,65,991
20000724,1800,,HU,12.9N,114.1W,75,980
20000725,0000,,HU,13.4N,116.0W,95,970
20000725,0600,,HU,13.8N,117.8W,100,964
20000725,1200,,HU,14.0N,119.4W,105,955
20000725,1800,,HU,14.3N,121.1W,110,954
20000726,0000,,HU,14.5N,122.5W,110,954
20000726,0600,,HU,14.9N,123.9W,105,956
20000726,1200,,HU,15.3N,125.3W,105,959
20000726,1800,,HU,15.5N,127.0W,105,961
20000727,0000,,HU,15.6N,128.5W,100,963
20000727,0600,,HU,15.7N,130.1W,95,964
20000727,1200,,HU,15.9N,131.6W,90,965
20000727,1800,,HU,16.0N,133.2W,95,964
20000728,0000,,HU,16.4N,134.8W,95,962
20000728,0600,,HU,16.8N,136.4W,105,961
20000728,1200,,HU,17.2N,138.2W,100,963
20000728,1800,,HU,17.5N,139.6W,90,968
20000729,0000,,HU,18.0N,141.3W,80,980
20000729,0600,,HU,18.4N,142.9W,65,990
20000729,1200,,HU,18.7N,144.6W,65,990
20000729,1800,,HU,18.9N,146.3W,65,990
20000730,0000,,TS,19.3N,147.7W,60,995
20000730,0600,,TS,19.8N,148.9W,55,997
20000730,1200,,TS,20.1N,150.0W,55,997
20000730,1800,,TS,20.5N,151.0W,50,995
20000731,0000,,TS,20.7N,151.8W,55,993
20000731,0600,,TS,20.8N,152.5W,50,995
20000731,1200,,TS,21.0N,153.1W,45,998
20000731,1800,,TS,21.3N,153.8W,60,993
20000801,0000,,TS,21.8N,154.5W,60,998
20000801,0600,,TS,22.3N,155.2W,50,1001
20000801,1200,,TS,22.9N,156.1W,45,1004
20000801,1800,,TS,23.6N,157.2W,45,1006
20000802,0000,,TS,24.2N,158.4W,40,1008
20000802,0600,,TS,25.0N,159.6W,45,1006
20000802,1200,,TS,25.8N,160.9W,45,1007
20000802,1800,,TS,26.9N,162.3W,45,1008
20000803,0000,,TS,27.9N,163.7W,40,1010
20000803,0600,,TS,28.8N,165.2W,35,1008
20000803,1200,,TD,29.8N,166.5W,30,1009
20000803,1800,,TD,30.5N,167.6W,30,1010
20000804,0000,,TD,31.4N,168.6W,30,1012
20000804,0600,,TD,32.2N,169.3W,30,1012
20000804,1200,,TD,33.0N,169.9W,25,1013
20000804,1800,,TD,33.9N,170.3W,25,1015
20000805,0000,,TD,35.0N,170.5W,25,1017
20000805,0600,,TD,36.1N,170.7W,25,1017
