date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20000726,0600,,TD,14.9N,106.9W,25,1007
20000726,1200,,TD,15.3N,107.7W,30,1006
20000726,1800,,TS,15.8N,108.4W,35,1005
20000727,0000,,TS,16.2N,109.0W,40,1002
20000727,0600,,TS,16.8N,109.8W,45,1000
20000727,1200,,TS,17.4N,110.8W,45,998
20000727,1800,,TS,18.1N,111.8W,55,994
20000728,0000,,TS,18.8N,112.9W,55,996
20000728,0600,,TS,19.4N,113.8W,50,997
20000728,1200,,TS,19.9N,114.7W,50,997
20000728,1800,,TS,20.1N,115.8W,45,1000
20000729,0000,,TS,20.1N,117.0W,40,1004
20000729,0600,,TS,20.2N,117.9W,35,1005
20000729,1200,,TS,20.3N,118.9W,35,1006
20000729,1800,,TD,20.3N,120.0W,30,1006
20000730,0000,,TD,20.4N,120.8W,25,1007
