date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20000920,0000,,TD,16.8N,103.4W,25,1008
20000920,0600,,TD,17.2N,103.2W,30,1007
20000920,1200,,TS,17.8N,102.9W,40,1005
20000920,1800,,TS,18.3N,103.1W,45,998
20000920,2000,L,TS,18.4N,103.2W,45,1000
20000921,0000,,TS,18.6N,103.5W,35,1000
20000921,0600,,TD,19.5N,104.2W,30,1004
20000921,1200,,TD,20.0N,105.0W,30,1005
20000921,1800,,TD,20.2N,105.3W,25,1005
20000922,0000,,TD,20.7N,105.7W,25,1005
20000922,0600,,TD,21.4N,106.1W,25,1005
20000922,1200,,TD,22.6N,106.3W,25,1005
20000922,1500,L,TD,23.1N,106.3W,25,1006
20000922,1800,,TD,23.7N,106.3W,25,1006
