date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20020821,1800,,TS,11.1N,139.2W,50,997
20020822,0000,,TD,10.8N,139.2W,25,1009
20020822,0600,,TD,10.8N,139.8W,25,1009
20020822,1200,,TD,10.7N,141.2W,25,1009
20020822,1800,,TD,10.7N,142.7W,30,1009
20020823,0000,,TD,10.7N,144.1W,30,1009
20020823,0600,,TD,11.1N,145.0W,30,1009
20020823,1200,,TD,11.2N,146.1W,30,1007
20020823,1800,,TD,11.3N,147.0W,30,1007
20020824,0000,,TD,11.5N,148.0W,30,1007
20020824,0600,,TD,11.6N,149.0W,30,1007
20020824,1200,,TD,11.7N,149.7W,30,1007
20020824,1800,,TD,11.8N,150.7W,30,1003
20020825,0000,,TS,12.2N,151.5W,40,996
20020825,0600,,TS,12.7N,152.6W,55,995
20020825,1200,,TS,12.8N,153.8W,50,998
20020825,1800,,TS,12.5N,155.1W,50,998
20020826,0000,,TS,12.5N,156.3W,50,998
20020826,0600,,TS,12.6N,157.5W,45,1000
20020826,1200,,TS,13.0N,158.9W,45,1000
20020826,1800,,TS,13.8N,160.4W,35,1004
20020827,0000,,TD,14.6N,162.0W,30,1010
20020827,0600,,TD,15.3N,162.9W,30,1009
20020827,1200,,TD,15.6N,164.4W,30,1010
20020827,1800,,TD,15.8N,166.2W,25,1009
20020828,0000,,TD,16.0N,167.5W,25,1009
20020828,0600,,TD,16.2N,168.9W,25,1010
