date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20020825,0000,,TD,9.8N,157.6W,15,-999
20020825,0600,,TD,9.9N,159.1W,15,-999
20020825,1200,,TD,10.1N,160.4W,15,-999
20020825,1800,,TD,10.3N,161.3W,15,-999
20020826,0000,,TD,10.4N,162.0W,15,-999
20020826,0600,,TD,10.4N,163.1W,25,1008
20020826,1200,,TD,10.4N,164.2W,25,1008
20020826,1800,,TD,10.3N,165.4W,25,1008
20020827,0000,,TD,10.3N,167.3W,30,1009
20020827,0600,,TS,10.2N,168.7W,40,1002
20020827,1200,,TS,10.0N,170.9W,60,990
20020827,1800,,TS,10.1N,172.0W,60,990
20020828,0000,,HU,9.7N,173.2W,65,987
20020828,0600,,HU,10.0N,174.4W,65,987
20020828,1200,,HU,10.3N,175.3W,75,984
20020828,1800,,HU,10.5N,176.4W,75,983
20020829,0000,,HU,10.7N,177.5W,75,981
20020829,0600,,HU,10.9N,178.0W,90,976
20020829,1200,,HU,11.2N,178.4W,90,976
20020829,1800,,HU,11.7N,179.2W,100,970
20020830,0000,,HU,12.1N,179.9W,110,945
