date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20021023,1800,,TD,8.7N,153.8W,20,1011
20021024,0000,,TD,8.9N,154.0W,20,1010
20021024,0600,,TD,9.1N,154.2W,20,1009
20021024,1200,,TD,9.3N,154.3W,25,1008
20021024,1800,,TD,9.5N,154.3W,25,1007
20021025,0000,,TD,9.8N,154.3W,25,1007
20021025,0600,,TD,10.0N,154.2W,25,1007
20021025,1200,,TD,10.3N,154.2W,25,1006
20021025,1800,,TD,10.6N,154.6W,30,1005
20021026,0000,,TS,10.8N,154.9W,35,1004
20021026,0600,,TS,11.4N,155.1W,35,1005
20021026,1200,,TS,11.4N,155.7W,40,1009
20021026,1800,,TS,11.5N,156.3W,45,1006
20021027,0000,,TS,11.5N,156.8W,45,1000
20021027,0600,,TS,11.7N,157.6W,50,997
20021027,1200,,TS,11.4N,157.7W,55,994
20021027,1800,,TS,12.2N,158.1W,55,994
20021028,0000,,TS,12.3N,158.5W,55,994
20021028,0600,,TS,12.5N,158.8W,55,994
20021028,1200,,TS,12.7N,159.0W,60,993
20021028,1800,,HU,12.8N,160.0W,65,987
20021029,0000,,HU,12.8N,160.0W,65,987
20021029,0600,,HU,12.9N,160.4W,65,987
20021029,1200,,HU,13.2N,160.5W,65,987
20021029,1800,,HU,13.6N,160.4W,65,987
20021030,0000,,TS,14.0N,161.3W,55,994
20021030,0600,,TS,14.0N,162.6W,55,996
20021030,1200,,TS,13.8N,163.4W,50,998
20021030,1800,,TS,13.7N,164.3W,55,998
20021031,0000,,TS,13.9N,165.3W,60,998
20021031,0600,,HU,13.8N,166.2W,65,987
20021031,1200,,HU,13.7N,166.9W,65,987
20021031,1800,,HU,13.5N,168.1W,65,987
20021101,0000,,HU,13.4N,169.2W,65,990
20021101,0600,,HU,13.7N,170.3W,65,987
20021101,1200,,HU,14.1N,171.4W,75,981
20021101,1800,,HU,14.6N,172.0W,75,980
20021102,0000,,HU,14.7N,172.6W,75,981
20021102,0600,,HU,14.7N,173.5W,75,980
20021102,1200,,HU,14.8N,174.2W,75,980
20021102,1800,,HU,15.0N,175.2W,75,981
20021103,0000,,HU,15.4N,176.6W,75,981
20021103,0600,,HU,15.7N,179.1W,75,981
