date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20030626,0000,,TD,13.9N,97.2W,25,1007
20030626,0600,,TD,14.1N,97.8W,30,1006
20030626,1200,,TS,14.7N,97.8W,35,1003
20030626,1800,,TS,15.0N,97.3W,45,998
20030627,0000,,TS,15.7N,97.6W,55,996
20030627,0300,L,TS,16.0N,97.8W,55,996
20030627,0600,,TS,16.3N,98.1W,45,999
20030627,1200,,TD,16.5N,98.6W,30,1001
20030627,1800,,LO,16.7N,99.3W,25,1005
20030628,0000,,LO,16.6N,99.9W,25,1008
20030628,0600,,LO,16.4N,100.6W,25,1008
20030628,1200,,LO,16.1N,101.2W,25,1008
20030628,1800,,LO,15.7N,101.8W,25,1008
