date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20031003,0600,,TD,11.7N,98.4W,30,1006
20031003,1200,,TS,12.1N,98.9W,40,1002
20031003,1800,,TS,12.4N,99.5W,50,1000
20031004,0000,,TS,13.1N,100.0W,45,1000
20031004,0600,,TS,13.8N,100.6W,45,1000
20031004,1200,,TS,14.5N,101.3W,50,997
20031004,1800,,TS,15.0N,102.1W,55,994
20031005,0000,,TS,15.5N,102.9W,55,994
20031005,0600,,TS,15.9N,103.6W,55,992
20031005,1200,,HU,16.5N,104.2W,65,987
20031005,1800,,TS,17.1N,104.8W,55,990
20031006,0000,,TS,17.4N,105.0W,50,995
20031006,0600,,TS,17.5N,104.9W,45,1000
20031006,1200,,TS,17.4N,104.5W,35,1000
20031006,1800,,TS,17.9N,104.4W,40,998
20031007,0000,,TS,18.4N,104.5W,45,997
20031007,0600,,TS,19.0N,104.6W,50,997
20031007,0800,L,TS,19.2N,104.6W,50,997
20031007,1200,,TS,19.6N,104.6W,40,999
20031007,1800,,TD,20.3N,104.5W,30,1002
20031008,0000,,TD,20.8N,103.8W,25,1004
