date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20040719,0000,,TD,14.4N,113.1W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20040719,0600,,TD,14.5N,114.0W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20040719,1200,,TS,14.7N,114.9W,35,1005,60/50/50/60,0/0/0/0,0/0/0/0
20040719,1800,,TS,14.9N,115.7W,45,1000,60/50/50/60,0/0/0/0,0/0/0/0
20040720,0000,,TS,15.0N,116.3W,45,1000,70/50/50/70,0/0/0/0,0/0/0/0
20040720,0600,,TS,15.2N,116.9W,45,1000,70/50/50/70,0/0/0/0,0/0/0/0
20040720,1200,,TS,15.3N,117.4W,45,1000,70/50/20/70,0/0/0/0,0/0/0/0
20040720,1800,,TS,15.5N,118.0W,50,997,70/50/20/70,15/15/0/15,0/0/0/0
20040721,0000,,TS,15.9N,118.7W,50,997,70/50/20/70,15/15/0/15,0/0/0/0
20040721,0600,,TS,16.0N,119.3W,50,997,70/60/40/70,15/15/15/15,0/0/0/0
20040721,1200,,TS,16.1N,119.8W,55,994,70/70/70/70,20/20/20/20,0/0/0/0
20040721,1800,,TS,16.2N,120.5W,60,991,70/60/40/70,30/30/20/30,0/0/0/0
20040722,0000,,HU,16.3N,121.0W,65,987,70/70/50/70,30/30/20/30,15/15/10/15
20040722,0600,,HU,16.3N,121.5W,75,981,70/70/70/70,35/35/35/35,15/15/15/15
20040722,1200,,HU,16.3N,122.2W,70,984,70/70/70/70,35/35/35/35,15/15/15/15
20040722,1800,,TS,16.3N,123.0W,60,990,70/70/70/70,30/30/30/30,0/0/0/0
20040723,0000,,TS,16.3N,123.9W,50,997,50/40/40/50,15/0/0/15,0/0/0/0
20040723,0600,,TS,16.2N,124.6W,40,1002,50/25/25/50,0/0/0/0,0/0/0/0
20040723,1200,,TS,16.1N,125.3W,35,1004,50/0/0/50,0/0/0/0,0/0/0/0
20040723,1800,,TS,16.1N,126.1W,35,1004,50/0/40/50,0/0/0/0,0/0/0/0
20040724,0000,,TS,16.4N,126.9W,35,1004,50/0/40/50,0/0/0/0,0/0/0/0
20040724,0600,,TS,16.7N,127.6W,35,1004,50/0/0/0,0/0/0/0,0/0/0/0
20040724,1200,,TD,17.0N,128.4W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20040724,1800,,TD,17.3N,129.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20040725,0000,,TD,17.6N,130.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20040725,0600,,TD,17.9N,131.9W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20040725,1200,,TD,18.4N,133.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20040725,1800,,TD,18.7N,134.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20040726,0000,,LO,19.1N,135.2W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20040726,0600,,LO,19.1N,136.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
