date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20040819,0600,,TD,11.6N,131.8W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20040819,1200,,TD,11.6N,132.7W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20040819,1800,,TD,12.0N,134.0W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20040820,0000,,TD,12.9N,135.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20040820,0600,,TS,13.6N,136.3W,35,1006,100/50/50/50,0/0/0/0,0/0/0/0
20040820,1200,,TS,13.9N,137.3W,35,1005,100/50/50/50,0/0/0/0,0/0/0/0
20040820,1800,,TS,14.0N,138.3W,45,1000,100/50/50/50,0/0/0/0,0/0/0/0
20040821,0000,,TS,14.3N,139.3W,55,994,100/100/100/100,25/25/25/25,0/0/0/0
20040821,0600,,TS,14.6N,140.1W,55,992,110/90/90/110,30/25/25/30,0/0/0/0
20040821,1200,,TS,15.0N,140.8W,60,989,115/90/90/115,35/25/25/35,0/0/0/0
20040821,1800,,TS,15.4N,141.2W,60,990,115/90/90/115,35/25/25/35,0/0/0/0
20040822,0000,,TS,15.8N,141.6W,55,995,105/80/80/105,35/25/25/35,0/0/0/0
20040822,0600,,TS,16.0N,142.1W,50,996,150/50/50/150,20/10/10/20,0/0/0/0
20040822,1200,,TS,16.1N,142.4W,35,998,120/30/30/120,0/0/0/0,0/0/0/0
20040822,1800,,TS,16.2N,142.8W,35,998,120/30/30/120,0/0/0/0,0/0/0/0
20040823,0000,,TD,16.4N,143.4W,30,998,0/0/0/0,0/0/0/0,0/0/0/0
20040823,0600,,TD,16.4N,144.2W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20040823,1200,,TD,16.3N,145.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20040823,1800,,TD,16.2N,145.9W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20040824,0000,,TD,16.0N,147.0W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20040824,0600,,TD,15.7N,148.2W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20040824,1200,,TD,15.3N,149.2W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20040824,1800,,LO,15.0N,150.5W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20040825,0000,,LO,14.5N,151.5W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20040825,0600,,LO,14.3N,152.5W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20040825,1200,,LO,14.2N,153.2W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20040825,1800,,LO,14.0N,154.0W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
