date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20040826,1200,,TD,14.7N,106.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20040826,1800,,TS,15.6N,107.0W,35,1005,75/50/0/0,0/0/0/0,0/0/0/0
20040827,0000,,TS,16.5N,108.4W,40,1002,75/50/0/50,0/0/0/0,0/0/0/0
20040827,0600,,TS,17.3N,109.9W,50,998,55/55/75/75,0/0/25/25,0/0/0/0
20040827,1200,,TS,17.9N,111.3W,55,995,55/55/75/75,0/0/25/25,0/0/0/0
20040827,1800,,TS,18.3N,112.8W,50,998,55/55/75/75,0/0/25/25,0/0/0/0
20040828,0000,,TS,18.5N,114.2W,45,1000,60/60/50/75,0/0/0/0,0/0/0/0
20040828,0600,,TS,18.6N,115.4W,45,1000,55/55/75/75,0/0/0/0,0/0/0/0
20040828,1200,,TS,18.7N,116.6W,45,1000,60/60/60/75,0/0/0/0,0/0/0/0
20040828,1800,,TS,18.8N,117.5W,50,998,60/60/75/75,10/10/20/20,0/0/0/0
20040829,0000,,TS,19.0N,118.5W,50,997,60/60/75/75,10/10/20/20,0/0/0/0
20040829,0600,,TS,19.1N,119.4W,45,999,60/60/75/75,0/0/0/0,0/0/0/0
20040829,1200,,TS,19.3N,120.3W,45,1000,60/60/75/75,0/0/0/0,0/0/0/0
20040829,1800,,TS,19.5N,121.3W,45,1001,65/50/50/75,0/0/0/0,0/0/0/0
20040830,0000,,TS,19.7N,122.4W,35,1004,50/50/40/60,0/0/0/0,0/0/0/0
20040830,0600,,TD,19.9N,123.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20040830,1200,,TD,20.1N,124.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20040830,1800,,LO,20.3N,125.6W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20040831,0000,,LO,20.5N,127.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20040831,0600,,LO,20.8N,128.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20040831,1200,,LO,21.0N,130.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20040831,1800,,LO,21.1N,131.5W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20040901,0000,,LO,21.2N,133.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20040901,0600,,LO,21.3N,134.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20040901,1200,,LO,21.3N,135.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20040901,1800,,LO,21.3N,136.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20040902,0000,,LO,21.3N,137.2W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20040902,0600,,LO,21.4N,138.6W,15,1011,0/0/0/0,0/0/0/0,0/0/0/0
20040902,1200,,LO,21.7N,140.2W,15,1011,0/0/0/0,0/0/0/0,0/0/0/0
20040902,1800,,LO,22.3N,141.7W,15,1011,0/0/0/0,0/0/0/0,0/0/0/0
20040903,0000,,LO,22.9N,143.1W,15,1011,0/0/0/0,0/0/0/0,0/0/0/0
20040903,0600,,LO,23.1N,144.6W,15,1012,0/0/0/0,0/0/0/0,0/0/0/0
20040903,1200,,LO,23.1N,146.1W,15,1013,0/0/0/0,0/0/0/0,0/0/0/0
