date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20040910,1800,,TD,11.2N,93.5W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20040911,0000,,TD,11.4N,95.3W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20040911,0600,,TD,11.6N,96.6W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20040911,1200,,TS,11.7N,97.8W,35,1002,60/60/30/60,0/0/0/0,0/0/0/0
20040911,1800,,TS,11.9N,99.2W,40,1001,60/60/30/60,0/0/0/0,0/0/0/0
20040912,0000,,TS,12.0N,100.4W,45,1000,60/60/30/60,0/0/0/0,0/0/0/0
20040912,0600,,TS,12.2N,101.4W,55,994,60/60/60/60,20/20/20/20,0/0/0/0
20040912,1200,,TS,12.5N,102.4W,60,991,70/70/70/70,25/25/25/25,0/0/0/0
20040912,1800,,HU,13.1N,103.4W,65,987,70/70/70/70,30/30/30/30,15/15/15/15
20040913,0000,,HU,13.6N,104.0W,75,979,80/80/80/80,40/40/40/40,20/20/20/20
20040913,0600,,HU,14.1N,104.8W,90,970,100/100/100/100,50/50/50/50,30/30/30/30
20040913,1200,,HU,14.7N,105.4W,105,957,90/90/90/90,65/65/65/65,40/40/40/40
20040913,1800,,HU,15.2N,106.1W,120,942,100/100/100/100,70/70/70/70,45/45/45/45
20040914,0000,,HU,15.9N,106.8W,130,930,100/100/100/100,75/75/75/75,30/30/30/30
20040914,0600,,HU,16.3N,107.2W,125,936,110/110/110/110,80/80/80/80,55/55/55/55
20040914,1200,,HU,16.6N,107.5W,125,936,110/110/110/110,80/80/80/80,55/55/55/55
20040914,1800,,HU,17.0N,107.7W,125,936,110/110/110/110,80/80/80/80,55/55/55/55
20040915,0000,,HU,17.4N,108.0W,125,936,110/80/110/110,70/60/70/70,45/45/45/45
20040915,0600,,HU,17.7N,108.3W,125,936,100/100/100/100,70/60/70/70,45/45/45/45
20040915,1200,,HU,18.1N,108.6W,115,948,100/100/100/100,70/60/70/70,45/45/45/45
20040915,1800,,HU,18.5N,109.0W,115,948,100/100/100/100,70/70/70/70,50/50/50/50
20040916,0000,,HU,18.9N,109.5W,110,950,100/100/100/100,70/70/70/70,50/50/50/50
20040916,0600,,HU,19.1N,110.0W,100,960,100/100/90/90,70/70/70/70,50/50/50/50
20040916,1200,,HU,19.4N,110.4W,100,960,100/100/90/90,70/70/70/70,50/50/50/50
20040916,1800,,HU,19.8N,110.9W,100,960,100/100/90/90,70/70/70/70,50/50/50/50
20040917,0000,,HU,20.5N,111.2W,100,960,100/100/90/90,70/70/70/70,50/50/50/50
20040917,0600,,HU,21.0N,111.6W,100,960,100/100/100/100,70/70/70/70,50/50/50/50
20040917,1200,,HU,21.5N,111.9W,95,962,100/100/100/100,70/70/70/70,50/50/50/50
20040917,1800,,HU,21.9N,112.1W,90,965,75/75/75/75,50/50/50/50,30/30/30/30
20040918,0000,,HU,22.4N,112.4W,75,970,75/75/75/75,50/50/50/50,30/30/30/30
20040918,0600,,HU,23.0N,112.8W,65,975,75/75/75/75,50/50/50/50,30/30/30/30
20040918,1200,,TS,23.3N,113.2W,50,987,75/75/75/75,30/30/30/30,0/0/0/0
20040918,1800,,TS,23.9N,113.4W,45,995,75/75/30/30,0/0/0/0,0/0/0/0
20040919,0000,,TD,24.8N,113.5W,30,1001,0/0/0/0,0/0/0/0,0/0/0/0
20040919,0600,,TD,25.7N,113.2W,30,1001,0/0/0/0,0/0/0/0,0/0/0/0
20040919,1100,L,TD,26.6N,113.0W,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
20040919,1200,,TD,26.9N,112.7W,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
20040919,1800,,LO,28.5N,112.0W,20,1003,0/0/0/0,0/0/0/0,0/0/0/0
20040920,0000,,LO,30.0N,111.3W,20,1004,0/0/0/0,0/0/0/0,0/0/0/0
