date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20050802,1800,,DB,14.3N,135.9W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20050803,0000,,DB,14.4N,137.4W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20050803,0600,,DB,14.5N,138.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20050803,1200,,DB,14.7N,139.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20050803,1800,,TD,15.0N,140.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050804,0000,,TD,15.2N,141.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050804,0600,,TD,15.2N,141.7W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050804,1200,,TD,15.1N,142.7W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050804,1800,,TD,14.9N,143.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050805,0000,,TD,14.7N,145.0W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
