date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20050626,0600,,TD,12.7N,97.2W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20050626,1200,,TD,13.0N,97.7W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20050626,1800,,TS,13.5N,97.9W,35,1003,60/0/0/60,0/0/0/0,0/0/0/0
20050627,0000,,TS,14.0N,98.0W,35,1003,60/0/0/60,0/0/0/0,0/0/0/0
20050627,0600,,TS,14.4N,98.4W,40,1001,60/0/0/60,0/0/0/0,0/0/0/0
20050627,1200,,TS,14.7N,99.4W,45,1000,60/25/25/60,0/0/0/0,0/0/0/0
20050627,1800,,TS,15.1N,100.2W,45,1000,60/30/30/60,0/0/0/0,0/0/0/0
20050628,0000,,TS,15.5N,101.1W,40,1002,40/30/30/40,0/0/0/0,0/0/0/0
20050628,0600,,TS,15.8N,102.3W,35,1004,30/30/30/40,0/0/0/0,0/0/0/0
20050628,1200,,TD,15.9N,103.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20050628,1800,,TD,15.5N,104.4W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050629,0000,,TD,15.1N,105.1W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050629,0600,,LO,14.7N,105.4W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050629,1200,,LO,14.5N,105.9W,20,1005,0/0/0/0,0/0/0/0,0/0/0/0
20050629,1800,,LO,14.5N,106.7W,20,1004,0/0/0/0,0/0/0/0,0/0/0/0
20050630,0000,,LO,14.7N,107.5W,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
20050630,0600,,LO,14.8N,108.0W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20050630,1200,,LO,15.0N,108.3W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050630,1800,,LO,15.4N,108.7W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050701,0000,,LO,15.9N,109.3W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050701,0600,,LO,17.0N,110.0W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050701,1200,,LO,18.0N,110.9W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050701,1800,,LO,18.7N,112.2W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050702,0000,,LO,19.3N,113.5W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050702,0600,,LO,20.2N,114.5W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050702,1200,,LO,21.0N,115.6W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20050702,1800,,LO,21.2N,117.1W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050703,0000,,LO,21.2N,118.7W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050703,0600,,LO,21.1N,120.3W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20050703,1200,,LO,21.0N,122.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
