date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20050809,1200,,TD,14.0N,113.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20050809,1800,,TD,14.3N,114.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20050810,0000,,TS,14.8N,115.8W,35,1005,40/40/30/40,0/0/0/0,0/0/0/0
20050810,0600,,TS,15.1N,116.9W,45,1000,40/40/30/40,0/0/0/0,0/0/0/0
20050810,1200,,TS,15.4N,118.0W,55,994,50/40/40/50,25/15/15/25,0/0/0/0
20050810,1800,,TS,15.6N,118.6W,55,994,60/50/50/60,30/20/20/30,0/0/0/0
20050811,0000,,TS,16.1N,119.6W,55,994,60/50/50/60,30/20/20/30,0/0/0/0
20050811,0600,,HU,16.3N,120.2W,65,989,60/50/50/60,30/20/20/30,15/10/10/15
20050811,1200,,HU,16.7N,120.8W,65,989,60/50/50/60,30/20/20/30,15/10/10/15
20050811,1800,,HU,17.1N,121.6W,65,986,100/100/75/100,60/60/50/60,40/40/40/40
20050812,0000,,HU,17.6N,122.2W,70,982,100/100/75/100,60/60/50/60,40/40/40/40
20050812,0600,,HU,17.9N,122.6W,75,979,100/100/75/100,60/60/50/60,40/40/40/40
20050812,1200,,HU,18.3N,123.5W,75,978,100/100/75/100,60/60/50/60,40/40/40/40
20050812,1800,,HU,18.6N,124.3W,75,979,100/100/75/100,60/60/50/60,40/40/40/40
20050813,0000,,HU,18.8N,125.1W,75,979,100/100/75/100,60/60/50/60,40/40/40/40
20050813,0600,,HU,19.1N,126.0W,75,979,100/100/75/100,60/60/50/60,40/40/40/40
20050813,1200,,HU,19.2N,126.7W,75,979,100/100/75/100,60/50/50/60,30/30/30/30
20050813,1800,,HU,19.2N,127.5W,65,983,100/75/75/90,55/40/40/55,30/20/20/30
20050814,0000,,HU,19.2N,128.3W,65,987,75/60/60/70,35/35/35/35,20/20/20/20
20050814,0600,,TS,19.0N,129.0W,60,990,75/60/60/75,35/35/35/35,0/0/0/0
20050814,1200,,TS,18.7N,129.6W,60,990,75/60/60/75,35/35/35/35,0/0/0/0
20050814,1800,,TS,18.3N,130.3W,60,990,60/60/60/75,30/30/30/30,0/0/0/0
20050815,0000,,TS,17.9N,131.0W,60,990,60/60/60/75,30/30/30/30,0/0/0/0
20050815,0600,,TS,17.6N,131.8W,50,994,70/40/40/80,30/20/20/30,0/0/0/0
20050815,1200,,TS,17.3N,132.6W,40,1002,60/40/30/60,0/0/0/0,0/0/0/0
20050815,1800,,TD,17.1N,133.7W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20050816,0000,,TD,17.2N,134.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050816,0600,,LO,17.1N,135.8W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050816,1200,,LO,17.0N,137.0W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050816,1800,,LO,16.8N,138.0W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20050817,0000,,LO,16.6N,139.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20050817,0600,,LO,16.5N,140.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20050817,1200,,LO,16.4N,141.0W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
