date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20060711,0000,,TD,13.2N,110.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060711,0600,,TS,13.5N,111.0W,40,1003,30/30/30/0,0/0/0/0,0/0/0/0
20060711,1200,,TS,13.8N,111.7W,50,998,40/40/40/0,20/0/0/0,0/0/0/0
20060711,1800,,TS,14.1N,112.6W,60,991,50/50/50/50,25/20/20/25,0/0/0/0
20060712,0000,,HU,14.4N,113.5W,75,983,75/60/60/75,35/30/30/35,15/15/15/15
20060712,0600,,HU,14.8N,114.6W,80,976,75/60/60/75,40/30/30/40,20/20/20/20
20060712,1200,,HU,15.4N,115.7W,85,973,75/60/60/75,40/30/30/40,20/20/20/20
20060712,1800,,HU,16.0N,116.9W,90,970,75/60/60/75,40/30/30/40,20/20/20/20
20060713,0000,,HU,16.6N,118.2W,100,962,75/60/60/75,50/30/30/50,25/20/20/25
20060713,0600,,HU,17.2N,119.8W,110,953,75/60/60/75,50/30/30/50,25/20/20/25
20060713,1200,,HU,17.7N,121.3W,100,959,75/60/60/75,50/30/30/50,25/20/20/25
20060713,1800,,HU,18.2N,122.7W,90,966,60/50/50/60,35/25/25/35,20/15/15/20
20060714,0000,,HU,18.6N,124.0W,75,975,60/50/50/60,35/25/25/35,20/15/15/20
20060714,0600,,TS,19.1N,125.3W,60,985,50/30/30/50,25/0/0/25,0/0/0/0
20060714,1200,,TS,19.4N,126.5W,50,995,40/20/20/40,15/0/0/15,0/0/0/0
20060714,1800,,TS,19.7N,127.8W,40,1001,25/0/0/25,0/0/0/0,0/0/0/0
20060715,0000,,TS,19.9N,129.2W,35,1003,25/0/0/25,0/0/0/0,0/0/0/0
20060715,0600,,TD,20.2N,130.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20060715,1200,,TD,20.6N,132.2W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20060715,1800,,TD,21.0N,133.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060716,0000,,TD,21.5N,135.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20060716,0600,,TD,22.0N,136.8W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060716,1200,,LO,22.5N,138.3W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20060716,1800,,LO,23.0N,139.8W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20060717,0000,,LO,23.5N,141.3W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
20060717,0600,,LO,24.1N,143.0W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
20060717,1200,,LO,24.8N,144.8W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
