date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20060731,1800,,TD,14.1N,121.4W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060801,0000,,TS,14.3N,122.6W,35,1005,60/0/20/60,0/0/0/0,0/0/0/0
20060801,0600,,TS,14.6N,123.8W,35,1005,60/0/20/60,0/0/0/0,0/0/0/0
20060801,1200,,TS,14.8N,125.2W,40,1000,60/0/20/60,0/0/0/0,0/0/0/0
20060801,1800,,TS,14.7N,126.6W,45,1000,50/0/20/60,0/0/0/0,0/0/0/0
20060802,0000,,TS,14.8N,127.9W,45,1000,50/0/20/60,0/0/0/0,0/0/0/0
20060802,0600,,TS,14.8N,129.2W,45,1000,40/0/20/60,0/0/0/0,0/0/0/0
20060802,1200,,TS,14.8N,130.5W,40,1002,40/20/30/40,0/0/0/0,0/0/0/0
20060802,1800,,TS,15.0N,132.0W,35,1004,40/20/30/40,0/0/0/0,0/0/0/0
20060803,0000,,TD,15.2N,133.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20060803,0600,,LO,15.2N,135.0W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20060803,1200,,LO,15.1N,136.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060803,1800,,LO,15.0N,138.2W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060804,0000,,LO,15.0N,139.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20060804,0600,,LO,14.9N,141.2W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20060804,1200,,LO,14.9N,142.7W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20060804,1800,,LO,14.8N,144.1W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20060805,0000,,LO,14.6N,145.7W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20060805,0600,,LO,14.4N,147.3W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20060805,1200,,LO,14.4N,149.0W,25,1014,0/0/0/0,0/0/0/0,0/0/0/0
20060805,1800,,LO,14.7N,150.7W,25,1015,0/0/0/0,0/0/0/0,0/0/0/0
