date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20060821,1200,,TD,12.0N,101.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20060821,1800,,TS,12.5N,102.8W,35,1004,150/100/100/100,0/0/0/0,0/0/0/0
20060822,0000,,TS,13.1N,103.9W,40,1002,150/125/100/125,0/0/0/0,0/0/0/0
20060822,0600,,TS,13.8N,105.0W,50,997,150/125/100/125,60/60/30/60,0/0/0/0
20060822,1200,,TS,14.4N,106.1W,60,990,150/125/100/125,60/60/60/60,0/0/0/0
20060822,1800,,HU,15.1N,107.3W,70,984,150/125/100/100,60/60/60/60,20/20/20/20
20060823,0000,,HU,16.2N,108.6W,80,976,150/120/100/110,60/60/60/60,30/30/30/30
20060823,0600,,HU,17.1N,109.8W,95,965,150/120/100/110,60/60/60/60,30/30/30/30
20060823,1200,,HU,17.8N,111.0W,105,955,125/120/100/100,50/50/50/50,25/25/25/25
20060823,1800,,HU,18.5N,112.1W,105,955,125/120/100/100,50/50/50/50,25/25/25/25
20060824,0000,,HU,19.2N,113.1W,105,955,120/100/80/100,60/60/60/60,30/30/30/30
20060824,0600,,HU,19.7N,113.8W,95,960,120/100/80/100,60/60/60/60,30/30/30/30
20060824,1200,,HU,20.2N,114.6W,90,968,120/100/80/100,60/60/60/60,30/30/30/30
20060824,1800,,HU,20.6N,115.2W,85,973,150/100/90/100,60/60/60/60,30/30/30/30
20060825,0000,,HU,20.9N,115.7W,80,975,150/100/90/100,75/60/60/60,30/30/30/30
20060825,0600,,HU,21.2N,116.2W,75,977,130/110/80/90,60/45/45/45,30/30/30/30
20060825,1200,,HU,21.5N,116.7W,70,980,120/110/80/90,50/45/45/45,30/25/25/30
20060825,1800,,HU,21.8N,117.1W,65,983,90/75/75/75,45/40/40/45,25/20/20/25
20060826,0000,,TS,22.1N,117.6W,55,987,90/75/75/75,45/40/40/45,0/0/0/0
20060826,0600,,TS,22.4N,118.2W,50,990,70/70/70/60,35/30/30/35,0/0/0/0
20060826,1200,,TS,22.6N,118.7W,50,992,70/70/70/60,35/30/30/35,0/0/0/0
20060826,1800,,TS,22.8N,119.1W,45,995,60/50/50/60,0/0/0/0,0/0/0/0
20060827,0000,,TS,23.1N,119.5W,40,998,50/30/30/50,0/0/0/0,0/0/0/0
20060827,0600,,TS,23.3N,119.9W,35,1002,45/30/30/45,0/0/0/0,0/0/0/0
20060827,1200,,TD,23.5N,120.5W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20060827,1800,,LO,23.7N,121.1W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20060828,0000,,LO,23.8N,121.6W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20060828,0600,,LO,23.9N,122.0W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20060828,1200,,LO,24.0N,122.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060828,1800,,LO,23.9N,122.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20060829,0000,,LO,23.8N,122.8W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060829,0600,,LO,23.7N,123.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
