date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20060830,0000,,TD,16.0N,114.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060830,0600,,TS,16.3N,114.4W,35,1005,20/0/20/30,0/0/0/0,0/0/0/0
20060830,1200,,TS,16.5N,114.9W,50,1000,50/40/40/50,20/20/20/20,0/0/0/0
20060830,1800,,TS,16.7N,115.2W,55,994,50/40/40/50,25/25/25/25,0/0/0/0
20060831,0000,,TS,17.0N,115.5W,60,990,45/45/45/45,30/30/30/30,0/0/0/0
20060831,0600,,HU,17.4N,115.9W,65,987,50/50/50/50,30/30/30/30,15/15/0/15
20060831,1200,,HU,17.8N,116.4W,70,985,60/60/60/60,30/30/30/30,15/15/0/15
20060831,1800,,HU,18.2N,116.9W,65,987,60/60/30/40,30/30/10/25,15/15/0/15
20060901,0000,,HU,18.7N,117.4W,65,990,55/55/30/40,30/30/20/25,15/15/10/15
20060901,0600,,TS,19.0N,117.9W,60,992,45/45/35/40,20/20/15/20,0/0/0/0
20060901,1200,,TS,19.0N,118.2W,50,995,40/40/30/40,15/15/15/15,0/0/0/0
20060901,1800,,TS,19.0N,118.6W,45,998,40/40/30/40,0/0/0/0,0/0/0/0
20060902,0000,,TS,19.0N,118.7W,40,1003,40/40/30/40,0/0/0/0,0/0/0/0
20060902,0600,,TS,18.9N,118.8W,35,1004,35/35/35/35,0/0/0/0,0/0/0/0
20060902,1200,,TS,18.7N,118.8W,35,1005,30/30/30/30,0/0/0/0,0/0/0/0
20060902,1800,,TD,18.4N,118.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060903,0000,,TD,18.3N,118.5W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060903,0600,,TD,18.2N,118.3W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060903,1200,,TD,18.1N,118.1W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060903,1800,,TS,17.8N,118.1W,35,1005,0/45/45/45,0/0/0/0,0/0/0/0
20060904,0000,,TS,17.7N,118.3W,35,1006,30/30/30/30,0/0/0/0,0/0/0/0
20060904,0600,,TD,17.1N,118.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060904,1200,,TD,16.8N,118.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060904,1800,,TD,16.4N,119.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060905,0000,,TD,16.2N,119.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060905,0600,,TD,16.2N,120.2W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060905,1200,,TS,16.3N,121.1W,35,1005,30/0/30/30,0/0/0/0,0/0/0/0
20060905,1800,,TS,16.5N,122.3W,35,1003,30/30/45/60,0/0/0/0,0/0/0/0
20060906,0000,,TS,16.5N,123.5W,35,1004,30/30/45/60,0/0/0/0,0/0/0/0
20060906,0600,,TS,16.5N,124.8W,35,1005,30/50/30/40,0/0/0/0,0/0/0/0
20060906,1200,,TD,16.5N,126.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060906,1800,,TD,16.5N,127.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060907,0000,,TD,16.4N,128.2W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060907,0600,,TD,16.3N,129.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20060907,1200,,TD,16.2N,129.6W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060907,1800,,TD,16.0N,130.1W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060908,0000,,TD,15.5N,130.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060908,0600,,LO,15.2N,131.4W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060908,1200,,LO,15.0N,131.8W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060908,1800,,LO,15.0N,131.9W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060909,0000,,LO,15.0N,132.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20060909,0600,,LO,15.0N,132.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
