date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20060916,0000,,TD,17.3N,115.0W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20060916,0600,,TD,17.4N,114.7W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20060916,1200,,TS,17.7N,114.4W,35,1003,0/60/0/0,0/0/0/0,0/0/0/0
20060916,1800,,TS,18.1N,114.2W,35,1001,0/60/60/0,0/0/0/0,0/0/0/0
20060917,0000,,TS,18.5N,114.1W,40,999,0/60/60/0,0/0/0/0,0/0/0/0
20060917,0600,,TS,18.7N,114.0W,40,999,0/75/75/0,0/0/0/0,0/0/0/0
20060917,1200,,TS,18.9N,113.9W,40,1000,0/75/75/0,0/0/0/0,0/0/0/0
20060917,1800,,TS,19.0N,113.8W,35,1001,0/75/75/0,0/0/0/0,0/0/0/0
20060918,0000,,TS,19.1N,113.7W,35,1001,0/75/0/0,0/0/0/0,0/0/0/0
20060918,0600,,TD,19.5N,113.6W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20060918,1200,,LO,19.9N,113.6W,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
20060918,1800,,LO,20.3N,113.7W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20060919,0000,,LO,20.7N,113.9W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20060919,0600,,LO,21.2N,114.2W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20060919,1200,,LO,21.8N,114.6W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20060919,1800,,LO,22.5N,114.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060920,0000,,LO,23.2N,114.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060920,0600,,LO,23.6N,114.6W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060920,1200,,LO,24.0N,114.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060920,1800,,LO,24.3N,113.8W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20060921,0000,,LO,24.4N,113.2W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20060921,0600,,LO,24.4N,112.6W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
