date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20061108,0600,,TD,12.7N,103.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20061108,1200,,TD,13.3N,104.1W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20061108,1800,,TD,13.8N,104.5W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20061109,0000,,TD,14.3N,104.9W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20061109,0600,,TS,14.8N,105.2W,35,1002,45/45/0/45,0/0/0/0,0/0/0/0
20061109,1200,,TS,15.1N,105.4W,35,1002,45/45/0/45,0/0/0/0,0/0/0/0
20061109,1800,,TS,15.3N,105.5W,35,1002,45/45/0/45,0/0/0/0,0/0/0/0
20061110,0000,,TD,15.5N,105.6W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20061110,0600,,TD,15.7N,105.7W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20061110,1200,,TD,15.9N,105.9W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20061110,1800,,TD,16.0N,106.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
