date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20070611,1200,,TD,15.5N,110.3W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20070611,1800,,TD,16.2N,111.0W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20070612,0000,,TD,17.0N,111.6W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20070612,0600,,TD,17.6N,112.5W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20070612,1200,,TD,18.0N,113.1W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20070612,1800,,TD,18.4N,113.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20070613,0000,,LO,18.8N,114.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070613,0600,,LO,19.1N,115.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070613,1200,,LO,19.3N,115.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070613,1800,,LO,19.6N,115.8W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070614,0000,,LO,20.0N,116.0W,15,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070614,0600,,LO,20.1N,116.1W,15,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070614,1200,,LO,20.1N,116.2W,15,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070614,1800,,LO,20.1N,116.6W,15,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070615,0000,,LO,20.1N,117.1W,15,1009,0/0/0/0,0/0/0/0,0/0/0/0
