date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20070714,1200,,TD,11.2N,125.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070714,1800,,TD,11.3N,126.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070715,0000,,TD,11.6N,126.6W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20070715,0600,,TD,11.9N,126.9W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20070715,1200,,TD,12.1N,127.2W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20070715,1800,,TS,12.5N,127.7W,35,1005,25/25/50/50,0/0/0/0,0/0/0/0
20070716,0000,,TS,13.0N,128.4W,45,1000,50/50/50/50,0/0/0/0,0/0/0/0
20070716,0600,,TS,13.6N,129.1W,55,997,50/50/75/75,0/0/20/20,0/0/0/0
20070716,1200,,TS,14.0N,130.0W,60,992,70/60/80/80,30/0/0/40,0/0/0/0
20070716,1800,,HU,14.4N,130.9W,65,987,80/60/80/80,40/20/40/40,20/0/0/20
20070717,0000,,TS,14.8N,131.8W,60,992,30/45/90/75,10/20/35/20,0/0/0/0
20070717,0600,,TS,14.9N,132.8W,55,997,30/30/90/75,0/20/35/20,0/0/0/0
20070717,1200,,TS,14.9N,133.8W,45,1000,30/30/75/50,0/0/0/0,0/0/0/0
20070717,1800,,TS,14.9N,134.8W,35,1005,0/30/60/30,0/0/0/0,0/0/0/0
20070718,0000,,TS,15.0N,136.0W,35,1005,0/30/60/30,0/0/0/0,0/0/0/0
20070718,0600,,TS,15.1N,137.2W,35,1005,0/30/60/30,0/0/0/0,0/0/0/0
20070718,1200,,TS,15.1N,138.3W,35,1005,0/30/30/30,0/0/0/0,0/0/0/0
20070718,1800,,TD,15.0N,139.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20070719,0000,,TD,15.2N,140.7W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070719,0600,,TD,15.3N,142.0W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070719,1200,,TD,15.5N,143.6W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070719,1800,,TD,15.7N,145.0W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070720,0000,,TD,16.0N,146.6W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070720,0600,,TD,16.0N,148.3W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070720,1200,,TD,16.1N,149.9W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070720,1800,,TD,16.5N,151.8W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070721,0000,,TD,16.5N,153.8W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070721,0600,,TD,16.3N,155.7W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070721,1200,,TD,16.1N,157.4W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070721,1800,,TD,16.2N,159.1W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070722,0000,,TD,16.4N,161.0W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070722,0600,,TD,16.4N,162.6W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070722,1200,,TD,16.3N,164.5W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070722,1800,,LO,16.1N,166.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070723,0000,,LO,16.1N,168.3W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20070723,0600,,LO,15.9N,170.0W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20070723,1200,,LO,15.8N,171.7W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20070723,1800,,LO,15.7N,173.3W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20070724,0000,,LO,15.7N,175.0W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20070724,0600,,LO,15.7N,176.8W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20070724,1200,,LO,15.8N,178.3W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070724,1800,,LO,15.8N,179.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
