date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20070808,1800,,TD,13.4N,126.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070809,0000,,TS,13.2N,127.8W,35,1000,30/0/0/40,0/0/0/0,0/0/0/0
20070809,0600,,TS,13.1N,129.1W,45,1000,30/0/0/50,0/0/0/0,0/0/0/0
20070809,1200,,TS,12.9N,130.4W,45,997,45/45/45/45,0/0/0/0,0/0/0/0
20070809,1800,,TS,12.7N,131.8W,55,995,45/60/45/45,15/15/0/0,0/0/0/0
20070810,0000,,TS,12.6N,133.1W,55,994,45/60/45/45,15/15/0/0,0/0/0/0
20070810,0600,,TS,12.6N,134.3W,60,991,45/60/45/45,15/15/0/0,0/0/0/0
20070810,1200,,HU,12.6N,135.4W,70,984,45/60/45/45,15/15/15/0,10/10/0/0
20070810,1800,,HU,12.6N,136.6W,80,977,60/60/40/60,30/30/20/30,15/15/0/15
20070811,0000,,HU,12.6N,137.7W,90,970,60/60/40/60,30/30/20/30,15/15/0/15
20070811,0600,,HU,12.6N,138.7W,100,965,60/60/50/60,30/30/20/25,15/15/0/15
20070811,1200,,HU,12.7N,139.7W,115,950,75/60/60/75,50/40/40/50,25/20/20/25
20070811,1800,,HU,12.9N,140.6W,115,950,75/60/60/75,50/40/40/50,25/20/20/25
20070812,0000,,HU,13.2N,141.7W,120,949,80/65/65/80,55/45/45/55,35/25/25/35
20070812,0600,,HU,13.4N,143.0W,120,950,80/65/65/80,55/45/45/55,35/25/25/35
20070812,1200,,HU,13.5N,144.0W,120,953,80/60/60/80,55/45/45/55,35/25/25/35
20070812,1800,,HU,13.7N,145.2W,120,955,80/60/60/80,55/45/45/55,35/25/25/35
20070813,0000,,HU,13.9N,146.4W,115,958,90/70/70/90,60/50/50/60,35/25/25/35
20070813,0600,,HU,14.2N,147.6W,115,958,90/70/70/90,60/50/50/60,35/25/25/35
20070813,1200,,HU,14.6N,148.9W,120,955,95/70/70/95,60/50/50/60,35/25/25/35
20070813,1800,,HU,15.1N,150.1W,115,957,120/70/70/120,60/50/50/60,35/25/25/35
20070814,0000,,HU,15.7N,151.4W,110,960,120/70/70/120,60/50/50/60,35/25/25/35
20070814,0600,,HU,16.2N,152.6W,100,970,135/50/50/135,80/30/30/80,35/20/20/35
20070814,1200,,HU,16.6N,153.6W,95,973,125/50/50/125,75/30/30/75,35/20/20/35
20070814,1800,,HU,16.9N,154.4W,90,978,90/50/50/90,75/30/30/75,35/20/20/35
20070815,0000,,HU,17.3N,155.2W,85,980,90/50/50/90,75/30/30/75,35/20/20/35
20070815,0600,,HU,17.4N,156.0W,65,993,80/60/60/75,50/30/30/45,20/0/0/20
20070815,1200,,TS,17.3N,157.0W,50,1003,50/25/25/45,25/0/0/25,0/0/0/0
20070815,1800,,TS,17.4N,158.0W,40,1006,50/25/25/45,0/0/0/0,0/0/0/0
20070816,0000,,TS,17.4N,159.0W,35,1007,50/25/15/50,0/0/0/0,0/0/0/0
20070816,0600,,TD,17.1N,160.2W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070816,1200,,TD,17.1N,161.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
