date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20070918,0600,,TD,12.7N,106.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070918,1200,,TD,13.2N,107.1W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20070918,1800,,TD,13.7N,107.9W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20070919,0000,,TS,14.2N,108.8W,40,1002,40/0/0/40,0/0/0/0,0/0/0/0
20070919,0600,,TS,14.6N,109.7W,50,997,40/30/0/40,25/20/0/25,0/0/0/0
20070919,1200,,TS,15.0N,110.7W,55,994,50/50/25/50,25/25/15/25,0/0/0/0
20070919,1800,,TS,15.3N,111.6W,60,991,60/60/30/60,25/25/15/25,0/0/0/0
20070920,0000,,HU,15.7N,112.1W,65,987,75/65/30/60,40/30/15/25,15/15/0/15
20070920,0600,,HU,16.2N,112.5W,65,987,75/65/30/60,60/30/10/25,15/15/0/15
20070920,1200,,HU,16.8N,112.8W,65,986,75/65/30/60,60/30/10/25,15/15/0/0
20070920,1800,,HU,17.5N,113.1W,70,985,75/65/30/60,60/30/10/25,15/15/0/0
20070921,0000,,HU,18.2N,113.4W,70,984,75/65/30/60,60/30/10/25,15/15/0/0
20070921,0600,,HU,18.8N,113.6W,70,984,75/65/30/60,60/30/10/25,15/15/0/0
20070921,1200,,HU,19.3N,113.6W,65,987,75/65/30/60,60/30/10/25,15/15/0/0
20070921,1800,,TS,19.8N,113.5W,60,990,75/45/45/60,40/20/20/30,0/0/0/0
20070922,0000,,TS,20.3N,113.3W,55,994,75/45/45/60,30/15/15/30,0/0/0/0
20070922,0600,,TS,20.7N,113.1W,50,997,60/45/20/50,0/0/0/20,0/0/0/0
20070922,1200,,TS,21.2N,112.8W,45,999,40/0/0/40,0/0/0/0,0/0/0/0
20070922,1800,,TS,21.6N,112.5W,35,1002,40/0/0/40,0/0/0/0,0/0/0/0
20070923,0000,,TD,21.9N,112.1W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20070923,0600,,TD,22.0N,111.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20070923,1200,,TD,22.0N,111.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070923,1800,,LO,22.0N,111.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070924,0000,,LO,22.0N,110.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070924,0600,,LO,22.0N,110.4W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070924,1200,,LO,22.0N,110.1W,15,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070924,1800,,LO,21.9N,109.9W,15,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070925,0000,,LO,21.8N,109.6W,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
