date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20070919,0600,,TD,16.1N,126.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070919,1200,,TD,17.0N,127.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070919,1800,,TD,17.4N,128.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070920,0000,,TD,17.6N,129.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070920,0600,,TD,17.7N,129.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20070920,1200,,TD,17.8N,130.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070920,1800,,TD,17.8N,130.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070921,0000,,LO,17.7N,130.3W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070921,0600,,LO,17.5N,130.5W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070921,1200,,LO,17.2N,130.7W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070921,1800,,LO,16.8N,130.7W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070922,0000,,LO,16.6N,130.1W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070922,0600,,LO,16.8N,129.4W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20070922,1200,,LO,16.9N,128.7W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070922,1800,,LO,16.9N,128.2W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070923,0000,,LO,16.9N,127.9W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070923,0600,,LO,16.9N,127.6W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070923,1200,,LO,16.9N,127.4W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070923,1800,,LO,17.0N,127.3W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20070924,0000,,LO,17.2N,127.6W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070924,0600,,LO,17.3N,128.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20070924,1200,,LO,17.5N,128.6W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20070924,1800,,LO,17.9N,129.3W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20070925,0000,,LO,18.0N,130.3W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
