date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20080804,1200,,DB,10.4N,136.2W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080804,1800,,DB,10.4N,136.8W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080805,0000,,DB,10.4N,137.5W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080805,0600,,DB,10.0N,139.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20080805,1200,,DB,10.2N,140.7W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20080805,1800,,DB,9.8N,141.8W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080806,0000,,DB,9.7N,142.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080806,0600,,DB,9.9N,143.6W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080806,1200,,DB,10.1N,144.8W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080806,1800,,DB,10.1N,145.9W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080807,0000,,TD,10.2N,146.3W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080807,0600,,TS,10.4N,147.2W,35,1008,30/10/10/30,0/0/0/0,0/0/0/0
20080807,1200,,TS,10.6N,147.9W,35,1008,45/20/20/45,0/0/0/0,0/0/0/0
20080807,1800,,TS,11.0N,149.3W,35,1007,45/20/20/45,0/0/0/0,0/0/0/0
20080808,0000,,TS,11.2N,150.6W,35,1007,45/20/20/45,0/0/0/0,0/0/0/0
20080808,0600,,TS,11.3N,151.6W,35,1008,45/20/20/45,0/0/0/0,0/0/0/0
20080808,1200,,TS,9.9N,152.4W,35,1008,45/20/20/45,0/0/0/0,0/0/0/0
20080808,1800,,TD,9.6N,153.4W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080809,0000,,TD,9.8N,154.6W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080809,0600,,TS,10.0N,155.9W,35,1008,30/10/10/30,0/0/0/0,0/0/0/0
20080809,1200,,TS,10.1N,157.2W,35,1008,45/10/10/45,0/0/0/0,0/0/0/0
20080809,1800,,TS,10.2N,158.2W,35,1008,45/10/10/45,0/0/0/0,0/0/0/0
20080810,0000,,TS,10.2N,159.3W,35,1008,45/10/10/45,0/0/0/0,0/0/0/0
20080810,0600,,TS,10.0N,160.3W,35,1008,45/10/10/45,0/0/0/0,0/0/0/0
20080810,1200,,TS,9.8N,161.5W,35,1009,40/10/10/40,0/0/0/0,0/0/0/0
20080810,1800,,TS,9.8N,162.4W,35,1009,40/10/10/40,0/0/0/0,0/0/0/0
20080811,0000,,TD,10.1N,164.2W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080811,0600,,TD,10.3N,165.6W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080811,1200,,TD,10.4N,166.9W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080811,1800,,TD,10.7N,168.2W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080812,0000,,TD,10.8N,169.6W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080812,0600,,TD,11.0N,170.4W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080812,1200,,DB,11.0N,171.5W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080812,1800,,DB,11.0N,172.8W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080813,0000,,DB,10.9N,174.2W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080813,0600,,DB,10.9N,175.3W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080813,1200,,DB,10.9N,176.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080813,1800,,DB,11.0N,177.8W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080814,0000,,DB,10.6N,179.3W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080814,0600,,TD,10.0N,179.4E,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080814,1200,,TD,9.6N,178.0E,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080814,1800,,TD,9.5N,176.6E,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080815,0000,,TD,9.4N,175.1E,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080815,0600,,TD,9.4N,174.4E,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080815,1200,,TD,9.3N,173.7E,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080815,1800,,DB,9.1N,173.0E,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080816,0000,,TD,9.1N,172.3E,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080816,0600,,TD,9.1N,171.4E,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
