date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20080701,1800,,TD,15.4N,106.2W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20080702,0000,,TD,16.0N,106.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20080702,0600,,TD,16.7N,107.1W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20080702,1200,,TS,17.4N,107.6W,35,1003,45/60/60/0,0/0/0/0,0/0/0/0
20080702,1800,,TS,18.0N,108.2W,35,1004,45/60/60/0,0/0/0/0,0/0/0/0
20080703,0000,,TS,18.7N,108.6W,35,1004,75/75/75/0,0/0/0/0,0/0/0/0
20080703,0600,,TS,19.4N,109.0W,35,1005,75/75/75/0,0/0/0/0,0/0/0/0
20080703,1200,,TS,19.9N,109.3W,35,1005,75/75/0/0,0/0/0/0,0/0/0/0
20080703,1800,,TD,20.5N,110.3W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20080704,0000,,TD,20.9N,110.9W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20080704,0600,,LO,20.4N,111.5W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20080704,1200,,LO,20.3N,112.1W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
20080704,1800,,LO,20.1N,112.8W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20080705,0000,,LO,20.1N,113.2W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20080705,0600,,LO,20.1N,113.4W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20080705,1200,,LO,20.2N,113.6W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20080705,1800,,LO,20.2N,113.8W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20080706,0000,,LO,20.2N,114.3W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20080706,0600,,LO,20.4N,115.0W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
