date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20080721,1200,,TD,13.4N,100.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20080721,1800,,TS,13.8N,101.9W,35,1004,45/30/30/45,0/0/0/0,0/0/0/0
20080722,0000,,TS,14.2N,103.4W,35,1004,60/30/45/60,0/0/0/0,0/0/0/0
20080722,0600,,TS,14.3N,104.6W,40,1002,60/30/60/60,0/0/0/0,0/0/0/0
20080722,1200,,TS,14.3N,105.7W,50,998,60/45/60/60,0/0/0/30,0/0/0/0
20080722,1800,,TS,14.4N,106.7W,50,996,60/60/60/75,30/0/0/30,0/0/0/0
20080723,0000,,TS,14.7N,107.5W,55,994,60/60/60/75,30/0/0/30,0/0/0/0
20080723,0600,,TS,14.9N,108.2W,55,994,60/60/60/75,30/0/0/30,0/0/0/0
20080723,1200,,TS,15.0N,108.9W,55,994,60/60/60/75,30/0/0/30,0/0/0/0
20080723,1800,,TS,15.0N,109.8W,50,996,45/60/90/45,0/20/30/0,0/0/0/0
20080724,0000,,TS,15.1N,110.6W,50,998,45/60/90/45,0/20/30/0,0/0/0/0
20080724,0600,,TS,15.2N,111.5W,45,1000,45/45/60/45,0/0/0/0,0/0/0/0
20080724,1200,,TS,15.3N,112.2W,45,1000,45/45/45/45,0/0/0/0,0/0/0/0
20080724,1800,,TS,15.5N,112.8W,45,1000,45/45/45/45,0/0/0/0,0/0/0/0
20080725,0000,,TS,15.8N,113.4W,50,997,45/45/45/45,25/0/0/25,0/0/0/0
20080725,0600,,TS,16.0N,114.2W,55,994,60/45/60/60,30/0/0/30,0/0/0/0
20080725,1200,,HU,16.3N,115.2W,65,987,60/45/60/75,35/30/30/35,20/0/0/20
20080725,1800,,HU,16.5N,116.4W,65,987,45/45/45/60,25/25/25/25,15/15/15/15
20080726,0000,,HU,16.8N,117.6W,65,987,45/45/45/60,25/25/25/25,15/15/15/15
20080726,0600,,TS,17.0N,118.6W,60,990,45/30/30/60,30/20/20/30,0/0/0/0
20080726,1200,,TS,17.0N,119.8W,50,997,45/30/30/60,30/20/20/30,0/0/0/0
20080726,1800,,TS,17.0N,120.9W,45,1000,30/30/30/30,0/0/0/0,0/0/0/0
20080727,0000,,TS,16.9N,122.0W,35,1000,0/0/0/30,0/0/0/0,0/0/0/0
20080727,0600,,TD,16.9N,123.1W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20080727,1200,,LO,16.9N,124.4W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20080727,1800,,LO,16.9N,125.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080728,0000,,LO,17.0N,126.0W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20080728,0600,,LO,17.0N,127.0W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20080728,1200,,LO,17.0N,128.0W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080728,1800,,LO,17.0N,129.0W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20080729,0000,,LO,17.3N,130.0W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20080729,0600,,LO,17.8N,131.0W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20080729,1200,,LO,18.0N,132.0W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
20080729,1800,,LO,18.0N,133.0W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
20080730,0000,,LO,17.8N,134.1W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
20080730,0600,,LO,17.5N,135.2W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
20080730,1200,,LO,17.1N,136.4W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
20080730,1800,,LO,16.7N,137.7W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
20080731,0000,,LO,16.4N,138.9W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
20080731,0600,,LO,16.6N,140.0W,20,1015,0/0/0/0,0/0/0/0,0/0/0/0
