date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20080806,1200,,TD,12.2N,109.9W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20080806,1800,,TD,12.9N,111.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20080807,0000,,TS,13.6N,112.1W,35,1005,0/30/30/30,0/0/0/0,0/0/0/0
20080807,0600,,TS,14.2N,113.4W,45,1000,0/40/40/40,0/0/0/0,0/0/0/0
20080807,1200,,TS,14.5N,114.7W,50,997,60/60/60/60,30/30/0/0,0/0/0/0
20080807,1800,,TS,14.5N,116.0W,55,994,60/60/60/60,30/30/0/0,0/0/0/0
20080808,0000,,TS,14.5N,117.2W,55,994,60/60/60/60,30/30/0/0,0/0/0/0
20080808,0600,,TS,14.5N,118.3W,60,990,60/75/75/60,30/30/30/30,0/0/0/0
20080808,1200,,HU,14.6N,119.4W,65,987,90/75/75/90,45/30/30/45,20/0/0/20
20080808,1800,,HU,14.7N,120.4W,75,983,90/90/75/90,45/45/30/45,20/20/0/20
20080809,0000,,HU,14.9N,121.3W,80,977,90/90/75/90,45/45/30/45,20/20/0/20
20080809,0600,,HU,15.2N,122.1W,90,970,90/90/75/90,45/45/30/45,20/20/0/20
20080809,1200,,HU,15.5N,122.8W,105,956,90/100/90/90,45/50/40/45,20/20/20/20
20080809,1800,,HU,16.0N,123.6W,105,956,90/110/100/90,45/60/45/45,20/25/20/20
20080810,0000,,HU,16.5N,124.4W,100,961,90/110/100/90,45/60/45/45,20/25/20/20
20080810,0600,,HU,17.0N,125.3W,90,968,100/110/100/90,60/75/75/60,30/30/30/30
20080810,1200,,HU,17.5N,126.2W,80,975,100/100/100/90,60/75/75/60,30/30/30/30
20080810,1800,,HU,18.0N,127.1W,75,979,90/100/100/90,50/50/50/50,30/30/30/30
20080811,0000,,HU,18.4N,128.0W,75,980,90/100/100/90,50/50/50/50,30/30/30/30
20080811,0600,,HU,18.6N,128.8W,75,980,90/100/100/90,50/50/50/50,30/30/30/30
20080811,1200,,HU,18.8N,129.7W,70,984,90/90/75/75,30/20/20/30,15/15/15/15
20080811,1800,,HU,18.8N,130.5W,65,987,90/75/75/75,30/20/20/30,15/0/10/15
20080812,0000,,TS,18.8N,131.3W,55,992,75/60/75/75,25/20/20/25,0/0/0/0
20080812,0600,,TS,18.7N,132.1W,50,997,75/45/60/75,0/0/0/25,0/0/0/0
20080812,1200,,TS,18.6N,132.9W,45,1000,75/45/45/75,0/0/0/0,0/0/0/0
20080812,1800,,TS,18.5N,133.7W,40,1002,60/45/30/75,0/0/0/0,0/0/0/0
20080813,0000,,LO,18.3N,134.5W,35,1004,0/0/0/75,0/0/0/0,0/0/0/0
20080813,0600,,LO,18.1N,135.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20080813,1200,,LO,17.9N,136.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20080813,1800,,LO,17.6N,136.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080814,0000,,LO,17.3N,137.7W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080814,0600,,LO,17.0N,138.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080814,1200,,LO,16.7N,139.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080814,1800,,LO,16.3N,140.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080815,0000,,LO,15.9N,141.7W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080815,0600,,LO,15.6N,142.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080815,1200,,LO,15.4N,144.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080815,1800,,LO,15.3N,145.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20080816,0000,,LO,15.2N,146.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20080816,0600,,LO,15.1N,147.7W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20080816,1200,,LO,15.0N,149.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
