date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20090808,1800,,DB,10.0N,159.0W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090809,0000,,DB,10.7N,160.2W,15,1012,0/0/0/0,0/0/0/0,0/0/0/0
20090809,0600,,DB,11.2N,161.4W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090809,1200,,DB,11.7N,162.5W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090809,1800,,DB,12.0N,163.7W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090810,0000,,DB,12.3N,165.0W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090810,0600,,DB,12.5N,166.3W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090810,1200,,DB,12.8N,167.6W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20090810,1800,,DB,13.1N,168.8W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090811,0000,,TD,13.4N,169.7W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090811,0600,,TD,13.7N,170.7W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090811,1200,,TS,13.9N,171.3W,35,1008,50/20/10/40,0/0/0/0,0/0/0/0
20090811,1800,,TS,14.1N,171.8W,35,1008,70/20/10/50,0/0/0/0,0/0/0/0
20090812,0000,,TD,14.3N,172.4W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090812,0600,,TD,14.4N,173.8W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090812,1200,,TD,14.2N,175.3W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090812,1800,,TD,14.3N,176.8W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090813,0000,,DB,14.4N,178.3W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090813,0600,,DB,14.3N,179.7W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090813,1200,,DB,14.2N,179.7E,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090813,1800,,DB,14.0N,179.2E,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20090814,0000,,DB,13.8N,178.6E,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20090814,0600,,DB,13.1N,177.3E,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090814,1200,,DB,13.3N,175.9E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090814,1800,,TD,13.5N,174.6E,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
20090815,0000,,TD,13.7N,174.0E,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
20090815,0600,,TD,14.4N,173.2E,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20090815,1200,,TD,14.9N,173.1E,30,1001,0/0/0/0,0/0/0/0,0/0/0/0
20090815,1800,,TS,15.3N,173.1E,35,997,-999/-999/-999/-999,-999/-999/-999/-999,-999/-999/-999/-999
20090816,0000,,TS,15.8N,173.2E,45,992,35/30/30/25,0/0/0/0,0/0/0/0
20090816,0600,,TS,16.0N,173.2E,45,992,35/30/25/25,0/0/0/0,0/0/0/0
20090816,1200,,TS,16.1N,173.2E,40,992,35/30/25/25,0/0/0/0,0/0/0/0
20090816,1800,,TS,16.3N,173.1E,35,994,15/15/15/15,0/0/0/0,0/0/0/0
20090817,0000,,TS,16.3N,172.8E,35,995,15/15/15/15,0/0/0/0,0/0/0/0
20090817,0600,,TD,16.2N,172.6E,30,998,0/0/0/0,0/0/0/0,0/0/0/0
20090817,1200,,TD,16.1N,172.3E,30,1000,0/0/0/0,0/0/0/0,0/0/0/0
20090817,1800,,TD,16.1N,172.0E,30,1000,0/0/0/0,0/0/0/0,0/0/0/0
20090818,0000,,TD,16.0N,171.6E,25,1000,0/0/0/0,0/0/0/0,0/0/0/0
20090818,0600,,TD,15.9N,171.1E,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
