date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20090826,0600,,DB,11.9N,170.9W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090826,1200,,DB,12.2N,171.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090826,1800,,DB,12.6N,172.1W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090827,0000,,DB,12.8N,172.6W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090827,0600,,DB,13.1N,173.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090827,1200,,DB,13.5N,173.4W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090827,1800,,DB,14.0N,173.6W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090828,0000,,DB,14.4N,174.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090828,0600,,DB,14.5N,175.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090828,1200,,TD,14.5N,176.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090828,1800,,TD,14.5N,177.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090829,0000,,TD,14.5N,177.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090829,0600,,TD,14.5N,178.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090829,1200,,TD,14.6N,179.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090829,1800,,TD,14.6N,179.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090830,0000,,TD,14.7N,179.1E,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090830,0600,,TD,15.3N,177.5E,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090830,1200,,TD,15.6N,175.9E,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090830,1800,,DB,15.3N,174.5E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090831,0000,,DB,15.4N,173.3E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090831,0600,,DB,15.8N,172.1E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090831,1200,,DB,16.0N,170.9E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090831,1800,,DB,16.2N,169.8E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090901,0000,,DB,16.2N,168.9E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090901,0600,,DB,16.3N,168.1E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090901,1200,,DB,16.4N,167.2E,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090901,1800,,DB,16.8N,166.2E,15,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090902,0000,,DB,16.9N,165.6E,15,1007,0/0/0/0,0/0/0/0,0/0/0/0
