date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20090706,0600,,TD,16.7N,111.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20090706,1200,,TS,17.1N,111.7W,35,1002,60/45/30/50,0/0/0/0,0/0/0/0
20090706,1800,,TS,17.6N,112.5W,40,1000,60/45/30/50,0/0/0/0,0/0/0/0
20090707,0000,,TS,18.0N,113.4W,45,998,60/50/30/60,0/0/0/0,0/0/0/0
20090707,0600,,TS,18.4N,114.3W,45,998,60/60/45/60,0/0/0/0,0/0/0/0
20090707,1200,,TS,18.9N,115.2W,40,999,60/60/45/60,0/0/0/0,0/0/0/0
20090707,1800,,TS,19.5N,116.2W,40,1000,60/60/45/60,0/0/0/0,0/0/0/0
20090708,0000,,TS,20.1N,117.3W,40,1001,60/40/30/40,0/0/0/0,0/0/0/0
20090708,0600,,TS,20.5N,118.5W,35,1004,60/40/30/40,0/0/0/0,0/0/0/0
20090708,1200,,TD,20.8N,119.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20090708,1800,,TD,21.1N,120.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090709,0000,,TD,21.4N,121.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090709,0600,,LO,21.8N,122.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090709,1200,,LO,22.1N,123.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090709,1800,,LO,22.5N,123.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090710,0000,,LO,23.0N,124.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090710,0600,,LO,23.4N,125.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20090710,1200,,LO,23.8N,125.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20090710,1800,,LO,24.1N,126.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090711,0000,,LO,24.4N,126.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090711,0600,,LO,24.7N,126.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20090711,1200,,LO,25.4N,126.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20090711,1800,,LO,26.1N,126.5W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20090712,0000,,LO,26.8N,126.5W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20090712,0600,,LO,27.3N,126.5W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
